id,mi_contractor_group_id,mi_contractor_id,display_order,is_active,created_at,created_by,updated_at,updated_by
27,1,27,27,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
28,1,28,28,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
29,1,29,29,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
30,1,30,30,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
31,5,1,1,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
32,5,2,2,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
33,5,3,3,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
34,5,5,4,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
35,5,6,5,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
36,5,7,6,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
37,5,9,7,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
38,5,10,8,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
39,5,14,9,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
40,5,15,10,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
41,5,16,11,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
42,5,17,12,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
43,5,19,13,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
44,5,20,14,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
45,5,21,15,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
46,5,22,16,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
47,5,23,17,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
48,5,24,18,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
49,5,25,19,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
50,5,26,20,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
51,5,28,21,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
52,5,29,22,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
53,5,30,23,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
54,6,4,1,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
