Index,Status,Include in Data Platform?,Platform Identifier,StudyName,HydroClimate,Land Use        (Ag Demands),GoogleDriveFolderName,ModelFilesLink,Scenario Description,ShortDescription,DV_Path,BaseScen,Source
s0030,FINAL,Yes,3.1,s0030_DCRadjHist_2020LU_NoFlowReqt,2023 DWR Historical Adjusted,2020 LandIQ,s0030_DCRadjHist_2020LU_NoFlowReqt,,Description,Remove tribuatry minimum flow requirements - a test scenario; with 2020 land use,,s0029,COEQWAL
s0031,FINAL,Yes,3.4,s0031_DCRadjHist_2020LU_salmonflows,2023 DWR Historical Adjusted,2020 LandIQ,s0031_DCRadjHist_2020LU_salmonflows,,,Functional flows scenario designed for salmon outcomes,,s0020,COEQWAL
s0032,FINAL,Yes,3.3,s0032_DCRadjHist_CVgwLU_eflows,2023 DWR Historical Adjusted,2020 LandIQ - GWmodCV,s0032_DCRadjHist_CVgwLU_eflows,,,Functional flows scenario with reduced CV-wide ag land use as used in gw limit scenarios,,s0029; s0028,COEQWAL
s0033,FINAL,Yes,3.5,s0033_DCRadjHist_CVgwLU_salmonflows,2023 DWR Historical Adjusted,2020 LandIQ - GWmodCV,s0033_DCRadjHist_CVgwLU_salmonflows,,,Salmon flows scenario with reduced CV-wide ag land use as used in gw limit scenarios,,s0031; s0028,
s0034,NOT YET RUN,Unsure...,N/A,s0034_DCRadjBL_2020LU_UpdateUrban,2023 DWR Historical Adjusted,2020 LandIQ,,,,,,,
s0035,FINAL,Yes,4.1,s0035_DCRadjBL_2020LU_PriorityHHS,2023 DWR Historical Adjusted,2020 LandIQ,s0035_DCRadjBL_2020LU_PriorityHHS,,Description,Prioritizing the health and human safety (HHS) levels of surface water delivery to community water systems.,,s0020,
s0036,FINAL,Yes,4.2,s0036_DCRadjBL_2020LU_PriorityFuncCWN,2023 DWR Historical Adjusted,2020 LandIQ,s0036_DCRadjBL_2020LU_PriorityFuncCWN,,Description,Prioritizing a functional level of deliveries to communty water systems. This is an amount intermediate to HHS and full demands and reflects a delivery of water generally considered sufficient to support community needs.,,s0020,
s0037,FINAL,Yes,4.3,s0037_DCRadjBL_2020LU_PriorityFullCWN,2023 DWR Historical Adjusted,2020 LandIQ,s0037_DCRadjBL_2020LU_PriorityFullCWN,,Description,Prioritizing full municipal demand deliveries to community water systems. Agricultural allocations in SWP and CVP systems are reduced to accomodate more delivery of surface water to community water systems.,,s0020,
s0038,FINAL,Unsure...,N/A,s0038_USBRAlt3_DCRadjBL_DeltaOut65,2023 DWR Historical Adjusted,2004-2013,,,,USBR Alt3 run with DWR's historical adjusted hydrology and 2004-2013 land use,,USBR 2021 LTO Alt3,
s0039,FINAL,Yes,5.4,s0039_USBRAlt3_2020LU_DeltaOut65,2023 DWR Historical Adjusted,2020 LandIQ,s0039_USBRAlt3_2020LU_DeltaOut65,,Description,USBR Alt3 updated with DWR hydrology and 2020 land use; maintains 65% Delta outflow requirement as in original Alt3 (and all attendent caveats and contingencies),,s0038,
