scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0069,3.0362612294635816,2.0481874748549944,2.1088652858145354,2.145480842934354,2.028883086531202,1.81257080372422,2.0860981314024687,1.9137928192025193,2.0580365683469783,1.982995207094067,2.052551096075083,1.5238130626310724,2.142443181123502,2.176840629670524,2.1366268710053213,2.1614839968126875,1.476233077635657,3.0033344813320872,1.5081113482102906,3.0058724867615343,3.008032927091448,3.0570164541529317,1.995600505413134,3.0035158208246235,3.02185682561728,3.066655386508546,3.1952828070388097,1.9327089234021009,1.4787343474933765,2.375916020082851,1.7416368069146237,2.3129346424210917,1.6768719103183134,1.5145921547809251,1.4922406923950646,3.446743067042832,3.9439572692978286,2.459884182047685,2.5310432691743205,3.3551933126753237,4.933330131691142,2.0329562692059557
s0071,3.0370881848236193,2.0448945675188197,2.189455413412637,1.8590867536912108,3.0188746700165576,4.111695260853645,2.273356976957861,2.79142842104135,2.196991735133895,2.00721389817977,1.8980690750597995,1.5062171677901053,2.1293360918568114,1.9021955742947965,2.485706345703514,2.597648185332423,3.7247049498262155,3.0093940363776808,1.498796990297363,3.0081615479551465,3.007859411462937,3.0664732190622943,1.4644720438902767,3.0021661477956245,3.098951721228288,3.5959847594001646,4.147177352540625,1.9551488031157709,3.2456654824880027,2.6495576109793815,2.8931149643989853,3.0313944763609713,3.103804686312487,2.910450407183951,3.7383726999738482,4.621130995627917,4.866146223704994,3.0069686089752556,3.3709890214861904,4.056964821900595,4.966504927294159,2.5139245622854323
s0072,3.053132648948786,2.157096762861043,2.2147138064330396,1.939939810857498,3.046839403484987,4.5597320381624895,2.7243273960720282,3.0790971000094065,3.0875613508372957,2.983114426504203,1.9510757829846996,1.5702409607772392,2.11078959507656,2.0349384713868255,2.4063174676235377,2.5005596190204695,3.671097950150071,3.023532119073574,1.5687014862943767,3.0645263668688423,3.1057332435866765,3.29528212651079,1.664880152548181,3.009287708934954,3.1456041092751494,3.5939277996882093,4.126055711361395,2.0855441610260197,3.2490162453861506,2.7324933389810604,3.0624372759175684,3.1345223373081623,3.210703026642925,1.7824980522386333,3.833821820323741,4.78012256541119,4.9011598031096835,3.068768958026513,4.435238906975796,4.531973993855515,4.9764479416948175,2.9642540868980003
s0072-R,3.053132648948786,2.157096762861043,2.2147138064330396,1.939939810857498,3.046839403484987,4.5597320381624895,2.7243273960720282,3.0790971000094065,3.0875613508372957,2.983114426504203,1.9510757829846996,1.5702409607772392,2.11078959507656,2.0349384713868255,2.4063174676235377,2.5005596190204695,3.671097950150071,3.023532119073574,1.5687014862943767,3.0645263668688423,3.1057332435866765,3.29528212651079,1.664880152548181,3.009287708934954,3.1456041092751494,3.5939277996882093,4.126055711361395,2.0855441610260197,3.2490162453861506,2.7324933389810604,3.0624372759175684,3.1345223373081623,3.210703026642925,1.7824980522386333,3.833821820323741,4.78012256541119,4.9011598031096835,3.068768958026513,4.435238906975796,4.531973993855515,4.9764479416948175,2.9642540868980003
s0073,3.0381188776976407,2.084365875725967,2.136688087860919,2.1916966992599693,2.4996491221003723,2.1659186731955518,2.4132116122388894,2.1651917657589888,2.30875260731223,2.1215541153800643,2.0746416461097295,1.421413728321928,2.1855181236703367,2.16250518367184,2.361014900669383,2.417791176327241,3.2175469059663455,3.0049696287570415,1.4048670284859854,3.006913471471135,3.009349715757627,3.0607442455229177,2.1012085229297046,3.0050334604560662,3.0260547480990465,3.08324491435026,3.1405428529470507,1.825430715517686,1.4733252264093062,2.246770698252758,2.0740379964564934,2.4472881304391922,2.106671155986872,1.3634736709938682,3.1531325020764864,3.948372925893543,4.703692483687318,3.0093902964235553,3.5719324208875944,3.961849126865872,4.9525938249878925,1.8890429477252857
s0073-R,3.0381188776976407,2.084365875725967,2.136688087860919,2.1916966992599693,2.4996491221003723,2.1659186731955518,2.4132116122388894,2.1651917657589888,2.30875260731223,2.1215541153800643,2.0746416461097295,1.421413728321928,2.1855181236703367,2.16250518367184,2.361014900669383,2.417791176327241,3.2175469059663455,3.0049696287570415,1.4048670284859854,3.006913471471135,3.009349715757627,3.0607442455229177,2.1012085229297046,3.0050334604560662,3.0260547480990465,3.08324491435026,3.1405428529470507,1.825430715517686,1.4733252264093062,2.246770698252758,2.0740379964564934,2.4472881304391922,2.106671155986872,1.3634736709938682,3.1531325020764864,3.948372925893543,4.703692483687318,3.0093902964235553,3.5719324208875944,3.961849126865872,4.9525938249878925,1.8890429477252857
s0074,3.0625624464788523,2.317133539659531,2.3066116915216046,2.0211217343642396,3.0264948075708262,4.253203647888669,2.968616039406393,3.076680662333485,3.1561158177634567,3.0032953040242774,1.9720779654676246,2.240865913112815,2.427566587065783,2.2918985761915693,2.7060530904467135,2.8207496777214107,3.6778617747789637,3.031795647516833,2.510309078827592,3.0791409990134864,3.1322112448293673,3.295627043961977,1.8195548580659664,3.0126338069021754,3.194173967047885,3.7560495655995867,4.340439092272239,2.3216296363880566,3.3978921863776916,3.135395026543799,3.189146185003404,3.453680496552527,3.414016642420389,3.039306692319018,4.277605759474913,4.763939638761398,4.884483681446881,3.0783154938090447,3.902365289985205,4.37638555964678,4.973924855401137,3.336705544876551
s0074-R,3.0625624464788523,2.317133539659531,2.3066116915216046,2.0211217343642396,3.0264948075708262,4.253203647888669,2.968616039406393,3.076680662333485,3.1561158177634567,3.0032953040242774,1.9720779654676246,2.240865913112815,2.427566587065783,2.2918985761915693,2.7060530904467135,2.8207496777214107,3.6778617747789637,3.031795647516833,2.510309078827592,3.0791409990134864,3.1322112448293673,3.295627043961977,1.8195548580659664,3.0126338069021754,3.194173967047885,3.7560495655995867,4.340439092272239,2.3216296363880566,3.3978921863776916,3.135395026543799,3.189146185003404,3.453680496552527,3.414016642420389,3.039306692319018,4.277605759474913,4.763939638761398,4.884483681446881,3.0783154938090447,3.902365289985205,4.37638555964678,4.973924855401137,3.336705544876551
s0075,3.034333320988436,2.0351120677194245,2.168988921872118,1.826035799673532,3.0128995141679678,3.981590748313163,2.2963396429238587,2.7382738614661055,2.257987180870682,1.8030749590036983,1.8447970323976697,1.3938749310914615,1.9371673473798436,1.9466048949057866,2.0213659728767146,2.0278313388468545,3.234523100895349,1.493545394043583,1.3977750326583627,3.001259867105676,3.002386241187314,3.0589476862284632,1.6683106422604876,3.0029293888032527,3.0894639336604617,3.455507455453016,4.170546155634403,2.2206320592845143,3.2779122283657567,3.031683486588644,3.0012565894360628,3.1775705738576603,3.1231129027410303,3.0061896636008414,3.6783851744072447,4.624588428457734,4.861968373607963,3.012484723449352,3.6865418046735963,4.310863588212566,4.97121587366359,2.886798604920637
s0077,3.034044347706794,2.0307190124742185,2.168572234405274,1.8141668670085478,3.012808962809556,3.989645056970451,2.2890099012727676,2.740102158847044,2.2639143939744644,1.8189237072703466,1.8431253560901033,1.415456106269513,1.9535977128105544,1.9607524662293008,2.0385090063152504,2.0485263372296654,3.238968792831129,3.0010209904688296,1.4209442374291559,3.0032514641538355,3.0050377164369335,3.059107247692826,1.6681868122975267,3.002872375152277,3.0898455787773886,3.4567474293663087,4.169912025827014,2.218987070287688,3.2787287885975096,3.031832522383331,3.0002107564835954,3.1756157494854294,3.1227890617656895,3.005706366896265,3.6778281361881864,4.624511760770255,4.8618340104453415,3.0106867593880247,3.676597327241912,4.302974697181172,4.970947402666518,2.8760495734921903
s0078,1.05069135606388,2.7272514032725583,2.652472389882248,3.07589324639882,2.573960233092994,3.5562895165061925,3.035620837958034,2.0477878096049102,3.6723701708029406,1.2222483093437788,3.8022672220671847,4.445957689954602,4.7562850505691365,4.993129968296823,4.980416811298591,4.9834148685973965,4.936565660219702,1.0811823942586345,3.1947906988456194,4.258291406806489,3.2611132275175403,4.777362360799315,2.696011952842378,1.294881669390327,1.330553254822265,3.022934846329883,1.4999818234209719,3.002702189326925,3.0033256692687336,2.9577930393806082,3.0095629111968045,3.0031951248925273,3.039212526496087,4.567456374142775,4.801984905468239,4.536162259217729,4.905129910806657,3.186007874364177,2.9994304017569475,3.0011580146849357,3.0095809597529226,2.975148153205091
s0079,1.0496590187233146,1.8083747243147412,2.588444953895287,3.0225003992011312,2.5073522738944614,3.510628419377149,3.0250191707256247,2.0283782888469135,3.6705152734373865,1.1737302092915185,3.5969939933318855,4.424028140091569,4.749690190047304,4.992235804906431,4.979235142868696,4.983365415099506,4.93653608152051,1.0767819827038176,3.1886141792340736,4.252777432580093,3.25944433818068,4.7505988749379835,2.686881545818277,1.2627266542043611,1.3108504450235199,3.0064048978669864,1.4998356012856007,3.002321335765644,3.0023759408530086,2.957665531783394,3.0073978508158468,3.003158303825064,3.037183567376181,4.547002929657747,4.750197614160262,4.483593436061028,4.90377709809308,3.18594043374903,2.9994105598912846,3.0010980922468087,3.0094815743447048,2.972470487443357
s0080,1.04956726564567,1.7716245238228372,2.5833806872185097,3.0207052991485077,2.5010348357592798,3.506347881119726,3.0243505605008454,2.023279654429975,3.668396464826137,1.1654806089170657,3.6093348924604824,4.431962744350861,4.750876501985848,4.992415351593792,4.97947316289099,4.9833765155342995,4.936535338276277,1.077013909991679,3.1850275854224335,4.253518103296457,3.2598433244153755,4.755738080004587,2.684014786288161,1.2593064111680552,1.3088021721222065,3.006076127115167,1.4998338630432029,3.0023038193147507,3.0023371918036785,2.95750635367093,3.007514365606426,3.0031362305996923,3.037843193415868,4.550065517240607,4.757820523937771,4.496606773588854,4.904042020815556,3.18593383937026,2.9994100419108,3.001066937403872,3.0094950085511827,2.9722562549503104
s0081,1.0511412206406345,2.821981071875835,2.6955941781352024,3.0634462298373637,2.5506072593432876,3.5450911003276824,3.0334735396717143,2.2547361722585832,3.668667518272839,1.2276328408151802,3.7793538556483157,4.439807805713771,4.753479444827301,4.9927983028013605,4.979966697461229,4.983398398526348,4.936552192789708,1.0809240483476867,3.194656382829417,4.259230188850263,3.26047224890984,4.7669299295717575,2.6997616348208036,1.3043227639006865,1.3617176962982216,3.019452687829231,1.499952425975752,3.002644680335445,3.0031683683419717,2.9686051165951386,3.0094052725390705,3.0031570501140843,3.0385285484402864,4.557647425698134,4.781466958724177,4.5172147061853565,4.90460679074712,3.1859662884755227,2.999437045260952,3.0011319605806968,3.0096069424682015,2.9754541378243617
