scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0020,AG_REV,demand_unit,08N_SA1,08N_SA1,1,,19
s0020,AG_REV,demand_unit,08N_SA2,08N_SA2,2,,20
s0020,AG_REV,demand_unit,08S_NA1,08S_NA1,1,,21
s0020,AG_REV,demand_unit,08S_NA2,08S_NA2,1,,22
s0020,AG_REV,demand_unit,08S_PA,08S_PA,2,,23
s0020,AG_REV,demand_unit,08S_SA1,08S_SA1,1,,24
s0020,AG_REV,demand_unit,08S_SA2,08S_SA2,2,,25
s0020,AG_REV,demand_unit,08S_SA3,08S_SA3,1,,26
s0020,AG_REV,demand_unit,09_NA,09_NA,1,,27
s0020,AG_REV,demand_unit,09_SA1,09_SA1,2,,28
s0020,AG_REV,demand_unit,09_SA2,09_SA2,1,,29
s0020,AG_REV,demand_unit,10_NA,10_NA,3,,30
s0020,AG_REV,demand_unit,11_NA,11_NA,1,,31
s0020,AG_REV,demand_unit,11_SA1,11_SA1,2,,32
s0020,AG_REV,demand_unit,11_SA2,11_SA2,2,,33
s0020,AG_REV,demand_unit,11_SA3,11_SA3,2,,34
s0020,AG_REV,demand_unit,11_SA4,11_SA4,2,,35
s0020,AG_REV,demand_unit,12_NA,12_NA,1,,36
s0020,AG_REV,demand_unit,12_SA,12_SA,1,,37
s0020,AG_REV,demand_unit,13_NA,13_NA,1,,38
s0020,AG_REV,demand_unit,14_NA,14_NA,1,,39
s0020,AG_REV,demand_unit,15N_NA1,15N_NA1,1,,40
s0020,AG_REV,demand_unit,15N_NA2,15N_NA2,3,,41
s0020,AG_REV,demand_unit,15N_SA,15N_SA,1,,42
s0020,AG_REV,demand_unit,15S_NA1,15S_NA1,1,,43
s0020,AG_REV,demand_unit,15S_NA2,15S_NA2,3,,44
s0020,AG_REV,demand_unit,15S_SA,15S_SA,1,,45
s0020,AG_REV,demand_unit,16_NA1,16_NA1,1,,46
s0020,AG_REV,demand_unit,16_NA2,16_NA2,1,,47
s0020,AG_REV,demand_unit,16_PA,16_PA,4,,48
s0020,AG_REV,demand_unit,16_SA,16_SA,2,,49
s0020,AG_REV,demand_unit,17N_NA,17N_NA,1,,50
s0020,AG_REV,demand_unit,17S_NA,17S_NA,1,,51
s0020,AG_REV,demand_unit,17S_SA,17S_SA,1,,52
s0020,AG_REV,demand_unit,18_NA,18_NA,1,,53
s0020,AG_REV,demand_unit,18_SA,18_SA,1,,54
s0020,AG_REV,demand_unit,19_SA,19_SA,2,,55
s0020,AG_REV,demand_unit,20_NA1,20_NA1,2,,56
s0020,AG_REV,demand_unit,20_NA2,20_NA2,1,,57
s0020,AG_REV,demand_unit,20_PA,20_PA,1,,58
s0020,AG_REV,demand_unit,21_NA,21_NA,1,,59
s0020,AG_REV,demand_unit,21_PA,21_PA,3,,60
s0020,AG_REV,demand_unit,21_SA,21_SA,1,,61
s0020,AG_REV,demand_unit,22_NA,22_NA,1,,62
s0020,AG_REV,demand_unit,22_SA1,22_SA1,1,,63
s0020,AG_REV,demand_unit,22_SA2,22_SA2,1,,64
s0020,AG_REV,demand_unit,23_NA,23_NA,2,,65
s0020,AG_REV,demand_unit,24_NA1,24_NA1,2,,66
s0020,AG_REV,demand_unit,24_NA2,24_NA2,1,,67
s0020,AG_REV,demand_unit,24_NA3,24_NA3,2,,68
s0020,AG_REV,demand_unit,25_NA,25_NA,1,,69
