scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0021,AG_REV,demand_unit,08S_NA2,,1,,21
s0021,AG_REV,demand_unit,08S_PA,,1,,22
s0021,AG_REV,demand_unit,08S_SA1,,1,,23
s0021,AG_REV,demand_unit,08S_SA2,,1,,24
s0021,AG_REV,demand_unit,08S_SA3,,1,,25
s0021,AG_REV,demand_unit,09_NA,,1,,26
s0021,AG_REV,demand_unit,09_SA1,,1,,27
s0021,AG_REV,demand_unit,09_SA2,,1,,28
s0021,AG_REV,demand_unit,10_NA1,,1,,29
s0021,AG_REV,demand_unit,10_NA2,,1,,30
s0021,AG_REV,demand_unit,10_SA1,,1,,31
s0021,AG_REV,demand_unit,10_SA2,,1,,32
s0021,AG_REV,demand_unit,10_SA3,,1,,33
s0021,AG_REV,demand_unit,11_NA,,1,,34
s0021,AG_REV,demand_unit,11_PA,,1,,35
s0021,AG_REV,demand_unit,11_SA1,,1,,36
s0021,AG_REV,demand_unit,11_SA2,,1,,37
s0021,AG_REV,demand_unit,11_SA3,,1,,38
s0021,AG_REV,demand_unit,12_NA,,1,,39
s0021,AG_REV,demand_unit,12_SA,,1,,40
s0021,AG_REV,demand_unit,13_NA,,1,,41
s0021,AG_REV,demand_unit,13_SA1,,1,,42
s0021,AG_REV,demand_unit,13_SA2,,1,,43
s0021,AG_REV,demand_unit,14_PA,,2,,44
s0021,AG_REV,demand_unit,15N_NA,,2,,45
s0021,AG_REV,demand_unit,15N_SA1,,1,,46
s0021,AG_REV,demand_unit,15N_SA2,,1,,47
s0021,AG_REV,demand_unit,15S_NA,,1,,48
s0021,AG_REV,demand_unit,15S_SA1,,1,,49
s0021,AG_REV,demand_unit,15S_SA2,,2,,50
s0021,AG_REV,demand_unit,16_SA1,,3,,51
s0021,AG_REV,demand_unit,16_SA2,,3,,52
s0021,AG_REV,demand_unit,17N_SA1,,3,,53
s0021,AG_REV,demand_unit,17N_SA2,,3,,54
s0021,AG_REV,demand_unit,17N_SA3,,1,,55
s0021,AG_REV,demand_unit,17S_NA,,2,,56
s0021,AG_REV,demand_unit,17S_SA1,,1,,57
s0021,AG_REV,demand_unit,17S_SA2,,1,,58
s0021,AG_REV,demand_unit,18_NA,,2,,59
