scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0081,1.503388373,1.243985994,2.451624645,1.911065673,2.672130289,3.482595244,3.001790777,2.32826259,3.564902395,1.118217981,3.40356959,4.999,4.999,4.999,4.999,4.999,4.999,1.500831296,3.085707584,4.999,3.221607353,4.999,2.749666994,1.500070012,1.500905249,1.500184861,1.500007522,3.002022421,3.000152778,2.95575095,3.003187404,3.002651076,3.028787432,4.999,4.999,4.999,4.999,3.13330502,2.999314763,3.000064685,3.007768815,2.973771158
s0082,3.021620006,2.058237951,2.125671982,1.773715243,2.511245963,2.901879251,2.302547048,2.236194703,2.058162301,1.615871736,1.806400411,1.488952356,2.012465215,1.900004577,2.323698043,2.399658173,3.357277257,1.500000811,1.435805379,1.500092212,1.500160425,1.50008301,1.737277299,3.002151536,3.071715375,3.465046434,3.970569265,2.295605937,3.138730229,3.00320894,2.961678655,3.182832775,3.053927155,2.765178885,3.734880896,4.999,4.999,3.021289434,4.999,4.999,4.999,2.691775675
s0083,3.02270055,2.048410369,2.112896277,1.756212184,2.398485587,2.784694436,2.217652808,2.382216417,2.193786584,1.645323141,1.792313678,1.442472568,1.963680075,1.866875968,2.28323739,2.352809259,3.345840528,1.500025246,1.396731677,1.500004162,3.005424907,3.071033689,1.697320456,3.002996884,3.096901547,3.477704723,3.965265569,2.173009247,3.120521632,2.885720428,2.568535068,3.168427723,3.036827089,2.590225582,3.707360919,4.999,4.999,3.020981714,3.656088123,4.999,4.999,2.619412884
s0084,3.024877836,2.103707848,2.170839709,1.845011985,2.968842761,3.970651825,2.557137099,2.506249042,2.338622993,1.555107066,1.790492684,1.422817611,2.129908776,1.883695117,2.646759331,2.721523655,3.678695449,3.011156748,1.38191324,3.011110641,3.007713817,3.085505173,1.821590959,3.006423074,3.107068374,3.59537798,3.970323702,2.181011787,3.123404208,3.005078048,3.012137914,3.25424551,3.092023504,1.5689968,3.664977675,4.999,4.999,3.057100597,4.999,4.999,4.999,2.604851121
s0085,3.019519878,2.069695651,2.102513806,1.718359431,2.360886553,2.776628607,2.231604052,2.318340345,2.171398267,1.573578465,1.745615136,1.390129984,1.85372377,1.78200347,2.154939034,2.100300018,3.616562647,1.500096636,1.346751983,1.500079829,1.500050312,3.052565627,1.689428339,3.002253479,3.093675426,3.656385348,4.999,1.936920149,3.134055017,2.153866545,2.968992518,3.001259086,3.03332931,2.742975834,3.711670218,4.999,4.999,3.033319936,3.818466345,4.999,4.999,2.163890071
s0087,3.036229083,2.160350523,2.271079076,1.918554196,2.855456427,3.865787951,2.450670081,2.696125532,2.421325775,1.948937762,1.871593568,1.531748806,2.343538498,2.210346326,2.66554183,2.749198672,3.479875599,3.010244558,1.494112536,3.014689833,3.019546228,3.062309893,1.621782445,3.003028695,3.132364354,3.675714664,4.999,2.400120514,3.226012681,3.184250094,3.046289358,3.756660574,3.459586169,3.083851832,3.606731974,4.999,4.999,3.023440938,3.315796295,3.760447161,4.999,3.30969575
s0088,3.036536164,2.157803584,2.276904144,1.905066772,2.933394333,3.992455947,2.48628401,2.63802957,2.417628193,1.642029909,1.84043882,1.423493098,2.072076899,2.005797928,2.383607068,2.44343904,3.413426518,1.500038689,1.400386913,1.500071126,1.500077374,3.052343654,1.599961627,3.002166523,3.115659924,3.583542518,4.999,2.096938957,3.17981112,2.739178759,2.309115546,3.019138816,2.429417186,2.084910264,3.108478982,3.613452929,4.999,3.004192383,3.088705211,3.70395852,4.999,2.465823534
s0089,3.034789879,2.122616641,2.195686534,2.340248575,2.357413905,2.293020385,2.333523055,2.113223148,2.25281915,1.890576784,2.070691514,1.608732222,2.433075306,2.574778747,2.537643097,2.64302445,3.142779503,3.008363512,1.537662583,3.005444242,3.008063445,3.045987225,2.265799281,3.006012277,3.070627275,3.233447254,3.222835172,2.069789473,1.500651078,2.35756522,2.322132713,2.836491282,2.403378806,2.075392609,3.107863558,3.609777744,4.999,3.004385376,3.075871515,3.682743594,4.999,2.133557285
s0090,3.050244901,2.334859447,2.344329772,2.189074599,3.0592785,4.999,2.785117302,3.016952785,2.701466801,1.867209439,1.942279616,1.438438544,2.324864717,2.169173314,2.700849276,2.762640928,3.450823278,3.013681123,1.429688986,3.012813788,3.012300316,3.076858992,1.748483993,3.008275499,3.126331572,3.64581813,4.999,2.431838482,3.192225405,3.138496491,3.080688376,3.574081314,3.256411525,2.272458327,3.643164939,4.999,4.999,3.079635122,4.999,4.999,4.999,3.16120453
s0091,3.036601909,2.153112454,2.288121274,1.942503176,2.954288936,4.999,2.469808939,2.703505626,2.375000569,2.065460364,1.90108612,1.658037634,2.446225947,2.070196695,2.755981103,2.872804419,3.51461945,3.018895934,1.609681721,3.018925904,3.019230579,3.062224036,1.569791101,3.003743227,3.130904451,3.667638438,4.999,2.090814525,3.175667464,2.946702758,3.005402683,3.214675138,3.12086878,2.986794061,3.963143699,4.999,4.999,3.025594657,3.700536267,4.999,4.999,2.743024576
