scenario,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0115,3.46,4.54,4.28,4.47,4.88,4.39,3.0,3.0,4.15,3.55,4.23,4.98,3.73,4.23,4.64,4.95,4.14
s0117,4.19,4.99,4.59,4.14,4.86,4.36,1.83,1.0,4.35,4.2,4.26,4.98,3.55,4.35,4.96,4.95,4.0
s0118,3.46,4.62,4.74,4.69,4.88,2.18,3.0,3.0,3.27,3.18,4.33,4.89,4.13,2.18,4.74,4.89,4.32
s0119,2.82,2.18,2.55,1.0,4.44,2.0,1.83,1.0,3.46,3.36,4.28,2.36,2.82,1.0,2.36,2.82,4.0
s0120,3.46,4.62,4.74,4.63,4.88,2.09,3.0,3.0,3.27,3.18,4.33,4.89,4.13,2.18,4.75,4.9,4.31
s0121,3.46,4.54,4.29,4.49,4.88,4.38,3.0,3.09,4.13,3.55,4.23,4.98,3.73,4.25,4.78,4.92,4.17
s0123,3.46,4.54,4.31,4.49,4.88,4.38,3.0,3.09,4.14,3.55,4.23,4.98,3.73,4.25,4.79,4.92,4.19
s0124,3.09,4.59,4.26,4.81,4.88,4.31,3.0,3.0,3.36,3.36,4.22,4.98,3.64,4.26,4.67,4.94,4.51
s0125,3.09,4.54,4.38,4.79,4.88,4.31,3.0,3.0,3.82,3.36,4.2,4.98,3.82,4.25,4.65,4.94,4.53
s0126,3.09,4.54,4.28,4.81,4.87,4.31,3.0,3.0,3.73,3.27,4.19,4.98,3.73,4.25,4.65,4.95,4.53
s0127,3.09,4.57,4.27,4.82,4.87,4.31,3.0,3.0,3.55,3.36,4.22,4.98,3.64,4.25,4.65,4.94,4.52
s0128,3.55,4.54,4.31,4.5,4.88,4.4,3.0,3.0,3.64,3.18,4.23,4.98,3.46,4.26,4.7,4.95,4.17
s0129,3.46,4.54,4.28,4.49,4.88,4.38,3.0,3.09,4.12,3.55,4.23,4.98,3.64,4.25,4.79,4.92,4.21
s0130,2.73,2.36,2.55,1.0,4.44,2.09,3.0,2.18,3.27,3.18,2.82,2.36,2.55,2.09,2.36,4.68,4.08
s0131,3.0,4.54,4.15,4.62,4.93,4.33,3.0,3.0,3.46,3.46,4.24,4.98,3.73,4.24,4.61,4.95,4.48
s0133,3.36,4.45,4.25,4.34,4.57,4.61,3.0,3.0,3.27,3.18,4.13,4.96,3.46,3.0,2.55,4.65,4.16
s0134,3.36,4.45,4.27,4.3,4.59,4.66,3.0,3.0,3.55,3.18,4.13,4.96,3.46,3.0,2.55,4.56,3.36
s0135,3.18,4.45,4.26,4.29,4.56,4.67,3.0,3.0,3.64,3.36,4.13,4.96,3.36,3.0,2.55,4.55,3.46
s0136,3.09,4.41,4.2,4.31,4.57,4.66,3.0,3.0,3.36,3.18,4.13,4.97,3.27,3.0,2.55,4.59,4.16
s0137,3.27,4.41,4.19,4.31,4.57,4.66,3.0,3.0,3.36,3.18,4.13,4.97,3.27,3.0,2.64,4.59,4.17
s0138,3.27,4.45,4.37,4.2,4.57,4.63,3.0,3.0,3.36,3.18,4.13,4.95,3.27,3.0,2.55,4.52,4.06
s0139,3.36,4.45,4.25,4.3,4.56,2.73,3.0,3.0,3.55,3.18,4.13,4.89,3.27,2.55,2.46,4.34,3.36
s0140,3.27,4.45,4.37,4.21,4.57,4.63,3.0,3.0,3.36,3.18,4.13,4.95,3.27,3.0,2.55,4.52,4.05
s0141,3.27,4.45,4.29,4.29,4.56,2.73,3.0,3.0,3.36,3.18,4.15,4.89,3.27,2.55,2.46,4.34,3.46
s0143,4.13,4.99,4.53,2.91,4.56,4.7,1.83,1.0,3.73,3.55,4.14,4.96,3.18,3.09,4.53,4.6,2.0
s0144,3.36,4.59,4.41,4.36,4.56,2.27,3.0,2.55,2.82,2.36,2.09,4.89,3.46,2.18,4.29,4.5,4.08
s0145,2.0,1.83,2.36,1.0,2.82,1.66,1.66,1.0,3.0,1.0,1.0,2.18,2.27,1.0,1.17,2.0,4.0
s0146,3.36,4.56,4.36,4.36,4.56,2.27,3.0,2.55,2.64,2.36,2.27,4.88,3.55,1.66,2.64,4.41,3.73
s0147,3.36,4.46,4.28,4.3,4.56,4.66,3.0,3.0,3.46,3.18,4.13,4.96,3.27,3.0,2.55,4.55,3.36
s0149,3.27,4.45,4.27,4.3,4.56,4.66,3.0,3.0,3.46,3.18,4.13,4.96,3.27,3.0,2.55,4.55,3.36
s0150,3.09,4.42,4.21,4.71,4.58,4.65,3.0,3.0,3.64,3.46,4.18,4.97,3.27,3.0,2.64,4.6,4.19
s0151,3.18,4.4,4.18,4.73,4.58,4.65,3.0,3.0,3.27,3.18,4.14,4.97,3.18,3.0,2.64,4.61,4.18
s0152,3.18,4.4,4.17,4.73,4.58,4.65,3.0,3.0,3.27,3.09,4.14,4.97,3.18,3.0,2.64,4.6,4.19
s0153,3.09,4.41,4.17,4.71,4.58,4.65,3.0,3.0,3.64,3.18,4.15,4.97,3.27,3.09,2.64,4.6,4.19
s0154,3.36,4.45,4.3,4.28,4.56,4.66,3.0,3.0,3.46,3.09,4.12,4.96,3.27,3.0,2.55,4.57,3.36
s0155,3.36,4.45,4.3,4.38,4.56,4.66,3.0,3.0,3.46,3.18,4.13,4.96,3.27,3.0,2.55,4.55,3.27
s0156,2.0,1.83,2.55,1.0,2.82,2.09,3.0,1.33,3.0,1.0,1.0,2.36,2.18,2.0,1.17,4.3,1.0
s0157,3.0,4.46,4.14,4.35,4.6,4.66,3.0,3.0,3.46,3.18,4.13,4.96,3.27,3.0,2.55,4.56,4.16
