scenario,S_SHSTA_Storage_Tier,S_TRNTY_Storage_Tier,S_OROVL_Storage_Tier,S_FOLSM_Storage_Tier,S_MELON_Storage_Tier,S_MLRTN_Storage_Tier,S_SLUIS_CVP_Storage_Tier,S_SLUIS_SWP_Storage_Tier
s0046,4.032608695652174,4.228260869565218,3.75,4.032608695652174,4.521739130434782,4.489130434782608,1.585714285714286,2.181818181818182
s0047,1.942857142857143,1.9714285714285715,2.272727272727273,1.7571428571428571,1.4428571428571428,1.8000000000000005,3.312500000000001,4.076086956521739
s0048,1.9285714285714288,1.9857142857142855,2.4090909090909096,1.7571428571428571,1.4857142857142858,1.6714285714285717,4.021739130434782,4.195652173913043
s0049,1.9571428571428573,1.9714285714285715,2.4090909090909096,1.7714285714285716,1.4428571428571428,1.8000000000000005,3.6875,4.065217391304348
s0050,1.8000000000000005,1.9714285714285715,2.363636363636364,1.8142857142857145,1.3428571428571427,2.863636363636364,3.437500000000001,4.076086956521739
s0051,1.8000000000000005,1.9714285714285715,2.363636363636364,1.842857142857143,1.4,2.863636363636364,3.8125,4.08695652173913
s0056,2.545454545454546,2.181818181818182,2.772727272727273,1.942857142857143,1.6142857142857143,1.8142857142857145,4.065217391304348,4.119565217391305
s0057,2.454545454545455,2.181818181818182,3.125,1.9142857142857144,1.6428571428571428,1.7571428571428571,4.163043478260869,4.206521739130435
s0058,2.681818181818182,2.363636363636364,2.863636363636364,1.9285714285714288,1.6142857142857143,1.8142857142857145,4.108695652173913,4.130434782608695
s0059,2.1363636363636367,2.3181818181818183,3.25,1.9714285714285715,1.542857142857143,2.545454545454546,4.076086956521739,4.260869565217391
s0060,2.2272727272727275,2.3181818181818183,3.25,1.999999,1.542857142857143,2.545454545454546,4.076086956521739,4.228260869565218
s0062,1.8285714285714283,1.9285714285714288,1.999999,1.7000000000000002,1.4428571428571428,1.585714285714286,2.181818181818182,4.032608695652174
s0063,1.9,1.9571428571428573,2.5000000000000004,1.8142857142857145,1.6142857142857143,1.6857142857142855,2.90909090909091,4.08695652173913
s0065,1.6,1.942857142857143,1.8857142857142857,1.6285714285714286,1.4285714285714286,4.054347826086956,2.954545454545455,1.9142857142857144
s0067,1.8142857142857145,1.9142857142857144,2.090909090909091,1.6714285714285717,1.4428571428571428,1.585714285714286,2.1363636363636367,4.054347826086956
s0068,1.9285714285714288,1.9571428571428573,2.2272727272727275,1.7000000000000002,1.4285714285714286,1.5571428571428572,1.9857142857142855,3.3125
s0069,1.8142857142857145,1.8857142857142857,2.1363636363636367,1.6714285714285717,1.4285714285714286,1.5571428571428572,1.871428571428572,2.909090909090909
s0071,1.642857142857143,1.4428571428571428,1.6714285714285717,1.4714285714285715,1.1285714285714286,1.8142857142857145,2.6363636363636367,4.304347826086956
s0072,2.590909090909092,1.9571428571428573,1.9857142857142855,1.6285714285714286,4.260869565217392,1.8571428571428568,1.8714285714285717,1.8571428571428568
s0073,4.195652173913043,4.217391304347826,4.119565217391305,4.043478260869565,4.326086956521739,2.4090909090909096,1.7857142857142858,2.454545454545455
s0074,3.4375,2.8181818181818183,2.2272727272727275,1.7571428571428571,4.586956521739131,1.8000000000000005,3.0625,1.9714285714285715
s0075,1.9285714285714288,1.9714285714285715,2.272727272727273,1.7428571428571429,1.4428571428571428,1.8000000000000005,3.5,4.0978260869565215
s0077,1.942857142857143,1.9714285714285715,2.181818181818182,1.7428571428571429,1.4428571428571428,1.8000000000000005,3.5625,4.173913043478261
s0078,1.7571428571428571,1.9285714285714288,2.8181818181818183,2.2272727272727275,1.4428571428571428,2.9090909090909096,4.271739130434782,4.304347826086956
s0079,1.657142857142857,1.8714285714285717,1.9142857142857144,1.7714285714285716,1.4428571428571428,2.9090909090909096,3.375,3.375
s0080,1.6714285714285717,1.8714285714285717,2.181818181818182,1.8285714285714287,1.4428571428571428,2.9090909090909096,3.875,3.625
s0081,1.657142857142857,1.9285714285714288,2.7272727272727275,1.999999,1.4428571428571428,2.9090909090909096,4.130434782608695,3.9375
s0082,1.8142857142857145,1.8714285714285717,2.090909090909092,1.6857142857142855,1.4428571428571428,1.8142857142857145,1.885714285714286,4.010869565217391
s0083,1.9,1.942857142857143,2.1363636363636367,1.7285714285714286,1.4428571428571428,1.8000000000000005,3.1875,4.076086956521739
s0084,4.173913043478261,4.206521739130435,4.021739130434782,4.043478260869565,4.423913043478261,2.90909090909091,1.7142857142857144,2.1363636363636367
s0085,1.7571428571428571,1.9571428571428573,2.5454545454545454,1.8285714285714287,1.5285714285714285,1.8000000000000005,3.875,2.454545454545455
s0087,1.942857142857143,1.9571428571428573,2.4090909090909096,1.7714285714285716,1.6142857142857143,1.6857142857142855,2.8636363636363646,4.108695652173913
s0088,2.227272727272728,2.0454545454545454,2.681818181818182,1.842857142857143,1.585714285714286,1.6857142857142855,2.9090909090909096,4.021739130434782
s0089,1.9714285714285715,1.9857142857142855,2.636363636363637,1.7714285714285716,1.585714285714286,1.6857142857142855,2.590909090909092,3.937499999999999
s0091,1.6714285714285717,1.5142857142857142,1.7428571428571429,1.542857142857143,1.2428571428571429,1.8142857142857145,3.125,4.326086956521739
s0092,3.999999,3.0625,2.454545454545455,1.7571428571428571,4.510869565217391,1.9,2.454545454545455,2.1363636363636367
s0093,4.380434782608695,4.369565217391305,4.228260869565218,4.130434782608695,4.554347826086956,2.272727272727273,1.8000000000000005,2.181818181818182
s0094,3.062500000000001,2.5000000000000004,2.363636363636364,1.7000000000000002,4.293478260869565,1.7285714285714286,1.5714285714285716,1.7999999999999998
s0095,2.363636363636364,2.181818181818182,2.636363636363637,1.8857142857142857,1.6142857142857143,1.8142857142857145,4.0978260869565215,4.195652173913043
s0097,2.363636363636364,2.2272727272727275,2.772727272727273,1.8857142857142857,1.6142857142857143,1.8142857142857145,4.08695652173913,4.217391304347826
s0098,1.9285714285714288,2.1363636363636367,3.75,2.636363636363637,1.5571428571428572,2.727272727272728,4.413043478260869,4.358695652173913
s0099,1.7714285714285716,1.9857142857142855,2.363636363636364,1.9142857142857144,1.5571428571428572,2.636363636363637,4.021739130434782,4.032608695652174
s0100,1.8000000000000005,1.9857142857142855,2.636363636363637,1.9857142857142855,1.5571428571428572,2.6818181818181825,4.163043478260869,4.032608695652174
s0101,1.9,2.0454545454545454,3.3125,2.2272727272727275,1.5571428571428572,2.727272727272728,4.293478260869565,4.206521739130435
s0102,2.045454545454546,1.9571428571428573,2.681818181818182,1.7571428571428571,1.6142857142857143,1.8142857142857145,2.090909090909091,4.043478260869565
s0103,2.2727272727272734,1.999999,2.545454545454546,1.842857142857143,1.6142857142857143,1.8142857142857145,4.032608695652174,4.195652173913043
s0104,4.326086956521739,4.358695652173913,4.130434782608695,4.119565217391305,4.608695652173913,2.772727272727273,1.6857142857142855,2.1363636363636367
s0105,1.9714285714285715,2.1363636363636367,3.125,1.9714285714285715,1.7000000000000002,1.8000000000000005,4.141304347826087,2.7727272727272734
s0107,3.4375,3.5625,4.043478260869565,1.9714285714285715,4.119565217391305,4.260869565217392,4.141304347826087,4.239130434782608
s0108,3.5625,3.6875,3.8125,1.999999,2.454545454545455,4.293478260869565,4.065217391304348,4.206521739130435
s0109,3.875,3.6875,4.054347826086956,2.2272727272727275,2.454545454545455,4.282608695652174,4.119565217391305,4.239130434782608
s0110,2.8636363636363646,4.010869565217391,4.076086956521739,2.727272727272728,1.999999,4.391304347826087,4.195652173913043,4.467391304347826
s0111,2.8636363636363646,4.010869565217391,4.054347826086956,2.545454545454546,1.999999,4.391304347826087,4.184782608695652,4.5
s0112,2.7727272727272725,2.863636363636364,3.25,1.8714285714285717,2.454545454545455,4.195652173913043,2.727272727272728,4.076086956521739
s0113,3.4375,3.5625,3.75,1.9857142857142855,4.130434782608695,4.25,4.141304347826087,4.260869565217391
s0114,2.818181818181818,2.863636363636364,3.25,1.8714285714285717,2.454545454545455,4.195652173913043,2.590909090909092,4.076086956521739
s0115,3.5,3.625,3.75,1.9857142857142855,4.130434782608695,4.25,4.141304347826087,4.25
s0117,1.9857142857142855,1.7000000000000002,1.8714285714285717,1.5714285714285716,1.3571428571428572,4.293478260869565,3.5625,4.489130434782608
s0118,4.489130434782608,4.358695652173913,2.590909090909092,1.7857142857142858,4.891304347826087,4.293478260869565,3.625,1.9142857142857144
s0119,4.5978260869565215,4.663043478260869,4.358695652173913,4.25,4.934782608695652,4.445652173913043,1.8000000000000005,1.9285714285714284
s0120,4.489130434782608,4.358695652173913,2.636363636363637,1.8142857142857145,4.891304347826087,4.293478260869565,4.010869565217391,1.9
s0121,3.625,3.625,3.75,1.9571428571428573,2.454545454545455,4.293478260869565,4.119565217391305,4.217391304347826
s0123,3.4375,3.6875,3.625,1.9571428571428573,2.454545454545455,4.293478260869565,4.141304347826087,4.304347826086956
s0124,2.8636363636363646,3.999999,4.260869565217391,3.625,2.909090909090909,4.423913043478261,4.608695652173913,4.478260869565218
s0125,2.181818181818182,3.125,3.6875,2.4090909090909096,2.8636363636363638,4.402173913043479,4.271739130434782,4.184782608695652
s0126,2.2272727272727275,3.1875,4.076086956521739,2.454545454545455,2.8636363636363638,4.413043478260869,4.3478260869565215,4.206521739130435
s0127,2.4090909090909096,3.6875,4.184782608695652,3.125,2.8636363636363638,4.413043478260869,4.445652173913043,4.282608695652174
s0128,2.999999,2.9545454545454546,3.75,1.942857142857143,4.130434782608695,4.260869565217392,2.181818181818182,4.130434782608695
s0129,3.375,3.5625,3.75,1.9714285714285715,2.454545454545455,4.282608695652174,4.021739130434782,4.195652173913043
s0130,4.5978260869565215,4.630434782608695,4.326086956521739,4.206521739130435,4.934782608695652,4.456521739130435,1.6428571428571428,1.7571428571428571
s0131,2.272727272727273,3.375,4.054347826086957,2.363636363636364,4.206521739130435,4.260869565217392,4.173913043478261,2.3181818181818183
s0133,1.8142857142857145,1.9571428571428573,2.090909090909091,1.7285714285714286,1.4571428571428573,2.8181818181818192,3.4375,4.119565217391305
s0134,1.842857142857143,1.9571428571428573,2.1363636363636367,1.7428571428571429,1.4285714285714286,3.0625,2.9545454545454555,4.0978260869565215
s0135,1.8857142857142857,1.9571428571428573,2.1363636363636367,1.7571428571428571,1.4285714285714286,3.0625,3.125000000000001,4.141304347826087
s0136,1.842857142857143,1.9285714285714288,2.181818181818182,1.7428571428571429,1.3,4.358695652173913,2.7727272727272734,4.0978260869565215
