id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,community_agency,gw,sw,point_of_diversion,source,model_source,has_gis_data,primary_contractor_short_code,is_active,created_at,created_by,updated_at,updated_by,hydrologic_region_id,model_source_id
202,90_PU,90,TULARE,-1,Urban,PU,3328.0802796,3,,,,,geopackage,calsim3,True,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,4,1
203,26S_PU2,26S,SAC,-1,Urban,PU,6604.9713598,1,,,,,geopackage,calsim3,True,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
204,26N_NA,26N,SAC,-1,Urban,NU,9593.1252736,2,,,,,geopackage,calsim3,True,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
205,26N_PU1,26N,SAC,-1,Urban,PU,22339.3571012,1,,,,,geopackage,calsim3,True,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
206,26N_NU5,26N,SAC,-1,Urban,NU,3208.2078330,4,,,,,geopackage,calsim3,True,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
207,AMADR,,SAC,,Urban,NU,,0,"Amador WA - Ione, Sutter Creek",0,1,North Fork Mokelumne River,tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
208,CSB038,,SOD,,Urban,PU,,0,San Luis Obispo County FC&WCD - Coastal Branch delivery,0,1,Coastal Branch SWP,tier_matrix,calsim3,False,OBISPO,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
209,CSB103,,SOD,,Urban,PU,,0,Santa Barbara County FC&WCD - Coastal Branch delivery,0,1,Coastal Branch SWP,tier_matrix,calsim3,False,BRBRA,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
210,CSTIC,,SOD,,Urban,PU,,0,Castaic Lake area - Santa Clarita,0,1,West Branch SWP,tier_matrix,calsim3,False,CLRTA_MI,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
211,ELDID_NU1,,SAC,,Urban,NU,,0,El Dorado ID - Eastern Region,0,1,"El Dorado Canal, Jenkinson Lake",tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
212,ELDID_NU2,,SAC,,Urban,NU,,0,El Dorado ID - Western Region,0,1,"El Dorado Canal, Jenkinson Lake",tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
213,ELDID_NU3,,SAC,,Urban,NU,,0,El Dorado Hills,1,1,"Folsom Lake, Jenkinson Lake",tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
214,ESB324,,SOD,,Urban,PU,,0,Antelope Valley-East Kern WA - East Branch delivery,0,1,East Branch SWP,tier_matrix,calsim3,False,AVEK,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
215,ESB347,,SOD,,Urban,PU,,0,Palmdale WD - East Branch delivery,0,1,East Branch SWP,tier_matrix,calsim3,False,PLMDL,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
216,ESB414,,SOD,,Urban,PU,,0,San Bernardino Valley MWD - East Branch delivery,0,1,East Branch SWP,tier_matrix,calsim3,False,BRDNO,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
217,ESB415,,SOD,,Urban,PU,,0,San Gabriel Valley MWD - East Branch delivery,0,1,East Branch SWP,tier_matrix,calsim3,False,GABRL,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
