id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,source,model_source,agency,provider,gw,sw,point_of_diversion,diversion_arc,river_reach,river_mile_start,river_mile_end,bank,area_acres,annual_diversion_taf,demand_unit,table_id,has_gis_data,is_active,created_at,created_by,updated_at,updated_by,hydrologic_region_id,model_source_id
43,15S_SA,15S,SAC,-1,Agriculture,SA,6012.81,1,"geopackage,calsim_report",calsim3,"Plumas MWC, misc. FRSA diverters",SWP,True,True,Feather River,D_FTR028_15S_SA,Yuba/Sutter county line to Yuba River,10.80,27.70,Left,1400.00,1.00,15S_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
44,15S_NA1,15S,SAC,-1,Agriculture,,50602.44,4,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,15S_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
45,15S_NA2,15S,SAC,-1,Agriculture,,42823.90,4,"geopackage,calsim_report",calsim3,"Brophy WD, Dry Creek MWC, South Yuba WD, Wheatland WD",Yuba WA,True,True,Lower Yuba River at Daguerre Point Dam,,,,,,,,15S_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
46,16_NA1,16,SAC,-1,Agriculture,,28259.46,15,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,16_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
47,16_NA2,16,SAC,-1,Agriculture,,10657.83,21,"geopackage,calsim_report",calsim3,Non-district,,True,False,East Borrow Canal Chapter 3: Demand Units August 2022 – 3-11 Table 3-3. Agricultural Demand Units in Sacramento River Hydrologic Region (contd.) Demand Unit Water District or Agency Water Provider Water Source,,,,,,,,16_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
48,16_PA,16,SAC,-1,Agriculture,PA,8270.12,1,"geopackage,calsim_report",calsim3,Feather WD,CVP,True,True,Feather River,,,,,,,,16_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
49,16_SA,16,SAC,-1,Agriculture,SA,7810.32,3,"geopackage,calsim_report",calsim3,"Garden Highway MWC, Tudor ID, Oswald WD, misc. FRSA diverters",SWP,True,True,Feather River,D_FTR008_SA,Sutter Bypass East Levee to Sutter Extension Water District,7.60,37.90,Right,4200.00,3.00,16_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
50,17N_NA,17N,SAC,-1,Agriculture,,31385.79,2,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,17N_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
51,17S_NA,17S,SAC,-1,Agriculture,,34463.39,4,"geopackage,calsim_report",calsim3,Non-district,,True,True,"Butte Slough, Wadsworth Canal Sutter Bypass-Butte Slough WUA N/A • • Sutter Bypass",,,,,,,,17S_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
52,17S_SA,17S,SAC,-1,Agriculture,SA,92.86,1,"geopackage,calsim_report",calsim3,Misc. FRSA diverters and minor settlement contractors,,True,True,Feather River,D_FTR003_SA,River mouth to Sutter Bypass East Levee,0.00,7.60,Right,200.00,5.00,17S_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
53,18_NA,18,SAC,-1,Agriculture,,13968.60,3,"geopackage,calsim_report",calsim3,"Butte Slough Irrigation Company, Sutter Butte MWC, non- district",,True,True,"Butte Creek, Sutter Bypass",D_SAC136_18_NA,Butte Slough Outfall Gates to Tisdale Weir,141.00,122.00,Left,1800.00,5.00,18_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
54,18_SA,18,SAC,-1,Agriculture,SA,20825.45,20,"geopackage,calsim_report",calsim3,"Meridian Farms WC, Lomo Cold Storage, Sutter MWC (5%), Tisdale IDC, misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,18_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
55,19_SA,19,SAC,-1,Agriculture,SA,67136.67,40,"geopackage,calsim_report",calsim3,"Bardis et al., Pelger MWC, Sutter MWC (95% of total), misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,19_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
56,20_NA1,20,SAC,-1,Agriculture,,180616.46,1,"geopackage,calsim_report",calsim3,Yolo County FC&WCD,,True,True,Cache Creek at Capay Diversion Dam,,,,,,,,20_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
57,20_NA2,20,SAC,-1,Agriculture,,109610.85,1,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,20_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
58,20_PA,20,SAC,-1,Agriculture,PA,2770.63,1,"geopackage,calsim_report",calsim3,"University of California, Davis",Solano County WA,True,True,Putah South Canal,,,,,,,,20_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
59,21_NA,21,SAC,-1,Agriculture,,18303.45,8,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC081_21_NA,Colusa Basin Drain to Sacramento Bypass,93.00,66.00,Right,9700.00,13.00,21_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
60,21_PA,21,SAC,-1,Agriculture,PA,11810.39,1,"geopackage,calsim_report",calsim3,Colusa Drain MWC (22% of total),CVP,True,True,Knights Landing Ridge Cut,,,,,,,,21_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
61,21_SA,21,SAC,-1,Agriculture,SA,23244.26,14,"geopackage,calsim_report",calsim3,"Conaway Conservancy Group, misc. settlement contractors",,True,True,"Sacramento River, Cache Creek, Yolo Bypass",,,,,,,,21_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
62,22_NA,22,SAC,-1,Agriculture,,12525.19,1,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC075_22_NA,Feather River to American River,83.00,63.00,Left,2200.00,1.00,22_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
63,22_SA1,22,SAC,-1,Agriculture,SA,39482.59,12,"geopackage,calsim_report",calsim3,"Natomas Central MWC, Pleasant Grove-Verona MWC, misc. settlement contractors",CVP,True,True,"Sacramento River, Cross-Canal",,,,,,,,22_SA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
64,22_SA2,,SAC,,Agriculture,,,0,calsim_report,calsim3,Misc. FRSA diverters,,False,True,Feather River,,,,,,,,22_SA2,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
65,23_NA,23,SAC,-1,Agriculture,,76886.69,3,"geopackage,calsim_report",calsim3,"Camp Far West ID, South Sutter WD, non-district",South Sutter WD,True,True,Bear River,,,,,,,,23_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
66,24_NA1,24,SAC,-1,Agriculture,,55244.26,1,"geopackage,calsim_report",calsim3,Nevada ID,Nevada ID,True,True,"Combie Canal, Auburn Ravine",,,,,,,,24_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
67,24_NA2,24,SAC,-1,Agriculture,,53533.05,2,"geopackage,calsim_report",calsim3,"Placer County WA Zone 5, non-district",Placer County WA,True,True,Auburn Ravine,,,,,,,,24_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
68,24_NA3,24,SAC,-1,Agriculture,,31928.58,3,"geopackage,calsim_report",calsim3,Placer County WA Zone 1,Placer County WA,True,True,"Lower Boardman Canal, South Canal",,,,,,,,24_NA3,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
69,25_NA,25,SAC,-1,Agriculture,,173617.91,29,"geopackage,calsim_report",calsim3,"North Delta WA, non-district",,True,True,Delta channels including Barker Slough,,,,,,,,25_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
70,25_PA1,25,SAC,-1,Agriculture,PA,57821.41,1,"geopackage,calsim_report",calsim3,Solano ID (77% of total),Reclamation,True,True,Putah Creek CalSim 3 Main Report,,,,,,,,25_PA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
71,25_PA2,25,SAC,-1,Agriculture,PA,15062.71,1,"geopackage,calsim_report",calsim3,Maine Prairie WD,Reclamation,True,True,Putah South Canal,,,,,,,,25_PA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
72,26N_NA,26N,SAC,-1,Agriculture,,2899.75,1,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,26N_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
73,26S_NA,26S,SAC,-1,Agriculture,,44744.20,29,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,26S_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
74,CULOS,,SAC,,Agriculture,,,0,calsim_report,calsim3,Miscellaneous agriculture in upper Feather River watershed,,False,True,Feather River,,,,,,,,CULOS,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
75,GDPUD_NA,,SAC,,Agriculture,,,0,calsim_report,calsim3,Georgetown Divide PUD,,False,True,"Stumpy Meadows Reservoir, Pilot Creek",,,,,,,,GDPUD_NA,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
76,LCCWD,,SAC,,Agriculture,,,0,calsim_report,calsim3,Little Last Chance ID,,False,True,Little Last Chance Creek,,,,,,,,LCCWD,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
77,NIDBR_NA,,SAC,,Agriculture,,,0,calsim_report,calsim3,,Nevada ID,False,True,"Combie Reservoir, Bear River",,,,,,,,NIDBR_NA,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
78,NIDDC_NA1,,SAC,,Agriculture,,,0,calsim_report,calsim3,,Nevada ID,False,True,"Scott Flat Reservoir, Deer Creek",,,,,,,,NIDDC_NA1,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
79,NIDDC_NA2,,SAC,,Agriculture,,,0,calsim_report,calsim3,,Nevada ID,False,True,"Scott Flat Reservoir, Deer Creek",,,,,,,,NIDDC_NA2,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
80,NIDDC_NA3,,SAC,,Agriculture,,,0,calsim_report,calsim3,,Nevada ID,False,True,Wolf Creek,,,,,,,,NIDDC_NA3,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
81,PUTAH,,SAC,,Agriculture,,,0,calsim_report,calsim3,Miscellaneous agriculture in upper Putah Creek watershed,,False,True,Putah Creek,,,,,,,,PUTAH,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
82,SIDSH,,SAC,,Agriculture,,,0,calsim_report,calsim3,Solano ID (23% of total),Solano County WA,True,True,Putah South Canal,,,,,,,,SIDSH,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
83,50_PA1,50,SJR,0,Agriculture,PA,22013.89,14,"geopackage,calsim_report",calsim3,Banta-Carbona ID,CVP,True,True,"Delta-Mendota Canal, San Joaquin River West Side ID CVP • • Delta-Mendota Canal",,,,,,,,50_PA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
84,50_PA2,50,SJR,0,Agriculture,PA,16639.99,8,"geopackage,calsim_report",calsim3,Byron-Bethany ID (excluding former Plainview ID service area),,False,True,Clifton Court Forebay,,,,,,,,50_PA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
85,60N_NA1,60N,SJR,-1,Agriculture,,11180.91,1,"geopackage,calsim_report",calsim3,Jackson Valley ID,,True,True,"Pardee Reservoir via Lake Amador, Jackson Creek",,,,,,,,60N_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
86,60N_NA2,60N,SJR,-1,Agriculture,,67027.51,6,"geopackage,calsim_report",calsim3,"Omochumne-Hartnell WD, Clay WD, Galt ID",,True,True,Folsom South Canal,,,,,,,,60N_NA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
