id,short_code,network_id,river,from_node,to_node,shape_length_m,model_source_id,source_id,network_version_id,is_active,created_at,created_by,updated_at,updated_by
1561,D_SJR090_71_NA2,3123,SJR,SJR090,71_NA2,19357.0652737287,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1562,D_SJR096_71_PA4,3124,SJR,SJR096,71_PA4,1189.87160000019,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1563,D_SJR105_71_NA1,3126,SJR,SJR105,71_NA1,6341.42100000009,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1564,D_SJR114_62_NA5,3127,SJR,SJR114,62_NA5,27428.8215648314,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1565,D_SJR116_72_NA1,3128,SJR,SJR116,72_NA1,1489.23320779488,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1566,D_SJR166_EBP032,3129,SJR,SJR166,EBP032,909.09173586755,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1567,D_SJR180_ARY010,3130,SJR,SJR180,ARY010,16192.309219731,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1568,D_SJR205_SJR201,3131,SJR,SJR205,SJR201,2596.13020000048,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1569,D_SJR214_EBP001,3132,SJR,SJR214,EBP001,128.079176060652,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1570,D_SJR227_64_PA3,3133,SJR,SJR227,64_PA3,22542.7909853657,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1571,D_SLC003_STD000,3135,SLC,SLC003,STD000,48.1354000010792,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1572,D_SLT009_SCT000,3136,SLT,SLT009,SCT000,72.0953908568976,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1573,D_SLTSP_TGR000,3137,SLTSP,SLTSP,TGR000,288.315578647404,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1574,D_SLUIS_PCH000,3138,SLUIS,SLUIS,PCH000,403.625345860456,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1575,D_SLV006_CMN005,3139,SLV,SLV006,CMN005,8054.64007164452,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1576,D_SLV015_JBT004,3140,SLV,SLV015,JBT004,7113.5938188141,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
