demand_unit,agency,provider,gw,sw,point_of_diversion
19_SA,"Bardis et al., Pelger MWC, Sutter MWC (95% of total), misc. settlement contractors",CVP,1,1,Sacramento River
20_NA1,Yolo County FC&WCD,N/A,1,1,Cache Creek at Capay Diversion Dam
20_NA2,Non-district,N/A,1,0,N/A
20_PA,"University of California, Davis",Solano County WA,1,1,Putah South Canal
21_NA,Non-district,N/A,1,1,Sacramento River
21_PA,Colusa Drain MWC (22% of total),CVP,1,1,Knights Landing Ridge Cut
21_SA,"Conaway Conservancy Group, misc. settlement contractors",N/A,1,1,"Sacramento River, Cache Creek, Yolo Bypass"
22_NA,Non-district,N/A,1,1,Sacramento River
22_SA1,"Natomas Central MWC, Pleasant Grove-Verona MWC, misc. settlement contractors",CVP,1,1,"Sacramento River, Cross-Canal"
22_SA2,Misc. FRSA diverters,N/A,0,1,Feather River
23_NA,"Camp Far West ID, South Sutter WD, non-district",South Sutter WD,1,1,Bear River
24_NA1,Nevada ID,Nevada ID,1,1,"Combie Canal, Auburn Ravine"
24_NA2,"Placer County WA Zone 5, non-district",Placer County WA,1,1,Auburn Ravine
24_NA3,Placer County WA Zone 1,Placer County WA,1,1,"Lower Boardman Canal, South Canal"
25_NA,"North Delta WA, non-district",N/A,1,1,Delta channels including Barker Slough
25_PA1,Solano ID (77% of total),Reclamation,1,1,Putah Creek CalSim 3 Main Report
25_PA2,Maine Prairie WD,Reclamation,1,1,Putah South Canal
26N_NA,Non-district,N/A,1,0,N/A
26S_NA,Non-district,N/A,1,0,N/A
CULOS,Miscellaneous agriculture in upper Feather River watershed,N/A,0,1,Feather River
GDPUD_NA,Georgetown Divide PUD,N/A,0,1,"Stumpy Meadows Reservoir, Pilot Creek"
LCCWD,Little Last Chance ID,N/A,0,1,Little Last Chance Creek
NIDBR_NA,,Nevada ID,0,1,"Combie Reservoir, Bear River"
NIDDC_NA1,,Nevada ID,0,1,"Scott Flat Reservoir, Deer Creek"
NIDDC_NA2,,Nevada ID,0,1,"Scott Flat Reservoir, Deer Creek"
NIDDC_NA3,,Nevada ID,0,1,Wolf Creek
PUTAH,Miscellaneous agriculture in upper Putah Creek watershed,N/A,0,1,Putah Creek
SIDSH,Solano ID (23% of total),Solano County WA,1,1,Putah South Canal
