page,col1,col2,col3,col4,col5,col6
5,ELDID_NU3,El Dorado Hills,El Dorado ID,910001,•,•
5,,"Berkeley, Oakland, Richmond,
Walnut Creek25",East Bay Municipal Utility District,11005,-,•
5,EBMUD,,,,,
5,,,,,,
5,,Fairfield,City of Fairfield,4810003,-,•
5,FRFLD,,,,,
5,,,,,,
5,GDPUD_NU,Georgetown,Georgetown Divide PUD,910013,-,•
5,,"Grass Valley,",Nevada ID,2910001,-,•
5,GRSVL,,,,,
5,,Nevada City,Nevada ID,2910002,-,•
5,,,,,,
5,,Napa,City of Napa16,2810003,-,•
5,NAPA,St. Helena,City of Napa,2810004,-,•
5,,Calistoga,City of Calistoga (City of Napa),2810002,-,•
5,NAPA2,Lake Berryessa communities,Solano County WA,N/A,,
5,,"Alta, Dutch Flat, Colfax,
Applegate, Meadow Vista","Dutch Flat MWC, Weimar WC, Midway
Heights County WD, Heather Glen CSD,
Meadow Vista County WD (Placer
County WA)",N/A,-,•
5,PCWA3,,,,,
5,,,,,,
5,PINES,Lake of Pines,Nevada ID,2910014,-,•
5,PLMAS,Portola,Plumas FC&WCD,3210003,•,•
5,SUISN,Suisun,City of Suisun,4810005,-,•
5,TVAFB,Travis Air Force Base,Travis Air Force Base,4810015,-,•
5,,Vallejo,City of Vallejo,4810007,-,•
5,VLLJO,,,,,
5,,,,,,
5,WLDWD,Lake Wildwood,Nevada ID,2910023,-,•
6,Notes:,,,,,
6,"1 The name of demand units located within a Water Budget Area (WBA) is prefixed with the WBA identification number. Demand units outside of the WBAs, located either in the rim",,,,,
6,"watersheds or within the Sacramento-San Joaquin Delta or San Francisco Bay hydrologic regions, are identified using a five letter acronym.",,,,,
6,2 The California Public Water System identification number (ID) is as used in the DWR Public Water Supply Statistics database.,,,,,
6,3 No ID or population data are given for demand units representing small communities that rely on self-produced water supplies.,,,,,
6,"4 Population data are covered in Chapter 12, Urban Water Use.",,,,,
6,"5 Shasta County WA provides water to water purveyors in Shasta County, including Keswick CSA and Jones Valley CSA.",,,,,
6,6 The City of Marysville diverts water from the lower Yuba River to fill Lake Ellis for recreational and aesthetic purposes.,,,,,
6,"7 Placer County WA purchases water from the PG&E’s Drum-Spaulding Project, which originates from the upper Yuba River basin, augmented by Bowman Lake and Lake",,,,,
6,"Spaulding on the South Yuba River and Rollins Reservoir on the Bear River. The water supply is conveyed primarily via the Drum, Bear River, and lower Boardman canals.",,,,,
6,Nevada ID and Placer County WA share capacity in the canal with agreements that provide for use of any unused capacity by either agency.,,,,,
6,8 Placer County WA has several wells in the Western Placer County (Sunset Industrial Park) and is considering increasing groundwater capacity for meeting future conjunctive,,,,,
6,requirements.,,,,,
6,"9 The City of Lincoln purchases treated surface water from Placer County WA, which is used conjunctively with treated groundwater for urban uses and use of recycled water for",,,,,
6,agricultural irrigation from its wastewater treatment plant.,,,,,
6,10 The City of Roseville purchases a small portion of treated Placer County WA water for service to higher elevation developments.,,,,,
6,11 The Sacramento International Airport is currently on groundwater supplies with poor water quality. It is anticipated that wholesale agreements with the City of Sacramento to treat,,,,,
6,and deliver Natomas Central Mutual Water Company water will replace groundwater supplies in the near future.,,,,,
6,12 The Northgate service area of Sacramento County WA may be annexed to the City of Sacramento in the near future and receive water from the city.,,,,,
6,13 The City of Roseville has been actively pursuing aquifer storage and recovery (ASR) for wells constructed within its retail service area.,,,,,
6,14 Includes a portion of Granite Bay in Placer County.,,,,,
6,15 This portion of the Sacramento Suburban WD was formerly served by Arcade WD North Highlands service area and Northridge WD.,,,,,
6,16 This portion of the Sacramento Suburban WD was formerly served by Arcade WD Town and Country service area.,,,,,
6,17 The older and much larger portion of Rio Linda Elverta Community WD relies solely on groundwater. The newer development is served surface water through agreements with,,,,,
6,San Juan WD.,,,,,
6,18 Del Paso WD has an existing agreement for surface water with the City of Sacramento for American River Place of Use water if groundwater supplies become inadequate to meet,,,,,
6,"demands. To date, this diversion has not occurred.",,,,,
6,19 The City of Napa delivers treated water to the City of American Canyon. The City of Napa also delivers water to the Town of Yountville and California Veterans Home.,,,,,
6,20 Sacramento County WA Vineyard Surface Water Treatment Plant was completion in 2011.,,,,,
6,"21 Agreements have been made with Natomas Central Mutual Water Company to deliver up 10,000 acre-feet per year to the City of Folsom south of Highway 50 sphere of influence",,,,,
6,Development Area. Conveyance will likely be through the East Bay Municipal Utility District/Sacramento County WA Freeport diversion to be operational by 2011.,,,,,
6,"22 Groundwater contamination has reduced groundwater production over the past 10 years, increasing the need for surface water from the Folsom South Canal.",,,,,
6,23 California American WC and Sacramento County WA are negotiating surface water wholesale agreements with the City of Sacramento for American River Place of Use.,,,,,
6,"24 Contra Costa Water District also serves parts of Walnut Creek, Pleasant Hill, Martinez, and Brentwood.",,,,,
6,"25 EBMUD's water system covers a 331-square-mile area extending from Crockett on the north, southward to San Lorenzo, eastward from San Francisco to Walnut Creek, and south",,,,,
6,through the San Ramon Valley.,,,,,
6,Key:,GW = groundwater,RCD = Resource Conservation District,,,
6,Cal-Am = California American,ID = Irrigation District,SSA = South Service Area,,,
6,CSA = County Service Area/Central Service Area,N/A = not applicable,SW = surface water UC = University of California,,,
6,CSD = Community Service District,NSA = North Service Area,WA = Water Agency,,,
6,CWD = Community Water District,PG&E = Pacific Gas and Electric,WC = Water Company,,,
6,DPH ID = California Department of Health identification number,POU = Place of Use,WD = Water District,,,
6,FC&WCD = Flood Control and Water Conservation District,PUD = Public Utility District,WSC = Water Service Company,,,
7,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,,
7,,,,GW,SW,
7,Tracy,City of Tracy (South San Joaquin ID),3910011,•,•,
7,Mountain House,Mountain House CSD,3910027,-,•,
7,Galt,City of Galt,3410011,•,-,
7,Lodi,City of Lodi,3910004,•,-,
7,Small communities,Self-supplied,N/A,•,-,
7,Rancho Murieta,Rancho Murieta CSD,3410005,-,•,
7,"Rancho Seco Power
Plant",Sacramento Municipal Utility District,Non-potable water use,-,•,
7,City of Stockton,City of Stockton,3910012,•,•,
7,,California Water Service Company,3910001,•,•,
7,Small communities,Self-supplied,N/A,•,-,
7,Modesto,City of Modesto,5010010,•,•,
7,Salida,,5010005,•,-,
7,Waterford,,5010006,•,-,
7,Hickman,,5010026,•,-,
7,Grayson,,5010033,•,-,
7,Lathrop,City of Lathrop (South San Joaquin ID),3910015,•,•,
7,Escalon,City of Escalon (South San Joaquin ID),3910003,•,•,
7,Manteca,City of Manteca (South San Joaquin ID),3910005,•,•,
7,Ripon,City of Ripon,3910007,•,-,
7,Oakdale,City of Oakdale,5010014,•,-,
7,Riverbank,City of Riverbank,5010018,•,-,
