id,du_urban_group_id,du_id,display_order,is_active,created_at,created_by,updated_at,updated_by
52,1,ESB414,52,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
53,1,ESB415,53,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
54,1,ESB420,54,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
55,1,FRFLD,55,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
56,1,GDPUD_NU,56,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
57,1,GRSVL,57,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
58,1,JLIND,58,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
59,1,MWD,59,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
60,1,NAPA,60,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
61,1,NAPA2,61,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
62,1,PCWA3,62,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
63,1,PLMAS,63,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
64,1,SBA029,64,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
65,1,SBA036,65,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
66,1,SCVWD,66,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
67,1,SUISN,67,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
68,1,TVAFB,68,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
69,1,UPANG,69,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
70,1,VLLJO,70,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
71,1,WLDWD,71,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
