network_arc_id,short_code,name,description,subtype,entity_type_id,schematic_type_id,hydrologic_region_id,boundary_condition,from_node,to_node,length_m,has_tiers,is_main,has_gis_data,entity_version_id,source_ids,watershed_short_code,unimp_sv_variable,has_mif,has_eflows,channel_class
C_CAA156,California Aqueduct,,Canal,2,1,2,,CAA156,CAA165,13104.761800835,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA172,California Aqueduct,,Canal,2,1,2,,CAA172,,1768.36935909101,,,1,1,1,"{1,3,4}",,,false,false,
C_CBC000,Combie Ophir Canal,,Canal,2,1,1,,CBC000,CBC001,1242.02426785417,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD001,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD001,CBD000,619.077621773001,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD012,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD012,CBD005,11210.1018032915,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD023,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD023,CBD018,8046.72004050017,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD031,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD031,CBD028,5607.8451790205,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD038,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD038,CBD037,850.966415122549,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD044,Colusa Basin Drainage Canal,,Canal,2,1,1,,CBD044,CBD041,4828.03195479992,,,1,1,1,"{1,3,4}",,,false,false,
C_CBD050,Colusa Basin Drainage Canal,,Canal,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CBD052,Colusa Basin Drainage Canal,,Canal,2,1,3,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CBD055,Colusa Basin Drainage Canal,,Canal,2,1,4,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CCH003,Cache Creek,,Stream,2,1,1,,CCH003,YBP032,4828.03198925103,,,1,1,1,"{1,3,4}",,,false,false,
C_CCH012,Cache Creek,,Stream,2,1,1,,CCH012,CCH006,10342.6264774848,,,1,1,1,"{1,3,4}",,,false,false,
C_CCH023,Cache Creek,,Stream,2,1,1,,CCH023,CCH017,9656.06387736875,,,1,1,1,"{1,3,4}",,,false,false,
C_CCH032,Cache Creek,,Stream,2,1,1,,CCH032,CCH030,2871.31625672371,,,1,1,1,"{1,3,4}",,,false,false,
C_CCH053,Cache Creek,,Stream,2,1,1,,CCH053,CCH052,2052.34428458469,,,1,1,1,"{1,3,4}",,,false,false,
C_CCH075,Cache Creek,,Stream,2,1,1,,CCH075,CCH058,26673.3066693299,,,1,1,1,"{1,3,4}",,,false,false,
C_CCK007,East Canal,,Canal,2,1,1,,CCK007,ABN000,4531.08550000004,,,1,1,1,"{1,3,4}",,,false,false,
C_CCK036,Coon Creek,,Stream,2,1,1,,CCK036,CCK022,23637.3194142117,,,1,1,1,"{1,3,4}",,,false,false,
C_CCS009,Canyon Creek (South),,Stream,2,1,1,,CCS009,SFY033,15216.837349488,,,1,1,1,"{1,3,4}",,,false,false,
C_CCT011,Clear Creek Tunnel Outfall,,Canal,2,1,1,,CCT011,CLR025,126.974539596145,,,1,1,1,"{1,3,4}",,,false,false,
C_CGT005,Colgate Tunnel/Penstock,,Canal,2,1,1,,CGT005,CGT006,657.191113409584,,,1,1,1,"{1,3,4}",,,false,false,
C_CHCGO,Port Chicago,,Stream,2,1,1,,CHCGO,N/A,1990.57849999983,,,1,1,1,"{1,3,4}",,,false,false,
C_CHW006,Chowchilla River,,Stream,2,1,2,,CHW006,EBP030,9656.08334502,,,1,1,1,"{1,3,4}",,,false,false,
C_CHW017,Chowchilla River,,Stream,2,1,2,SJR,CHW017,CHW011,9273.4609616606,,,1,1,1,"{1,3,4}",,,false,false,canal
C_CHW024,Chowchilla River,,Stream,2,1,2,,CHW024,CHW021,4828.04160826174,,,1,1,1,"{1,3,4}",,,false,false,
C_CHW031,Chowchilla River,,Stream,2,1,2,,CHW031,CHW028,5941.77327980239,,,1,1,1,"{1,3,4}",,,false,false,
C_CHY000,Cherry Creek,,Stream,2,1,2,,CHY000,TUO103,1161.01032946118,,,1,1,1,"{1,3,4}",,,false,false,
C_CHY006,Cherry Creek ,,Stream,2,1,2,,CHY006,CHY001,3050.12976562506,,,1,1,1,"{1,3,4}",,,false,false,
C_CHY011,Cherry Creek from CHY011 to Eleanor Creek inflow.,,Stream,2,1,2,,CHY011,CHY007,6204.39919308815,,,1,1,1,"{1,3,4}",,,false,false,
C_CLR011,Clear Creek,,Stream,2,1,1,,CLR011,CLR009,2587.44426525652,,,1,1,1,"{1,3,4}",,,false,false,
C_CLRLK,Cache Creek/Lower Lake,,Stream,2,1,1,,CLRLK,CCH083,4976.08996319618,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV006,Calaveras River,,Stream,2,1,2,,CLV006,CLV004,2782.33855899436,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV010,Calaveras River,,Stream,2,1,2,,CLV010,CLV009,1609.34716308768,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV023,Calaveras River,,Stream,2,1,2,,CLV023,CLV016,11265.4304987409,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV028,Calaveras River,,Stream,2,1,2,,CLV028,CLV026,2988.44525954439,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV037,Calaveras River,,Stream,2,1,2,,CLV037,CLV035,3385.2579671939,,,1,1,1,"{1,3,4}",,,false,false,
C_CLV044,Calaveras River,,Stream,2,1,2,,CLV044,CLV043,697.18298454936,,,1,1,1,"{1,3,4}",,,false,false,
C_CMCHE,Mokelumne River,,Stream,2,1,2,,CMCHE,MOK057,1965.97928795925,,,1,1,1,"{1,3,4}",,,false,false,
C_CMN006,Camino Tunnel,,Stream,2,1,1,,CMN006,SFA045,42.7599097968202,,,1,1,1,"{1,3,4}",,,false,false,
C_CMP005,Camp Creek,,Stream,2,1,2,,CMP005,CMP001,8192.18985837218,,,1,1,1,"{1,3,4}",,,false,false,
C_CMPFW,Bear River,,Stream,2,1,1,,CMPFW,BRR017,1800.38268022869,,,1,1,1,"{1,3,4}",,,false,false,
C_COL001,Cole Creek,,Stream,2,1,2,,COL001,NFM026,750.189984501815,,,1,1,1,"{1,3,4}",,,false,false,
C_COL003,Cole Creek,,Stream,2,1,2,,COL003,COL002,549.482507520619,,,1,1,1,"{1,3,4}",,,false,false,
C_COW003,Cow Creek,,Stream,2,1,1,,COW003,SAC277,4828.03199576576,,,1,1,1,"{1,3,4}",,,false,false,
C_COW014,Cow Creek,,Stream,2,1,1,,COW014,COW007,10524.3072002585,,,1,1,1,"{1,3,4}",,,false,false,
C_CPF001,Chicago Park Flume,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CRB002,Caribou PH No1 and No2 Tailwater,,Stream,2,1,1,,CRB002,NFF059,1630.59684560473,,,1,1,1,"{1,3,4}",,,false,false,
C_CRK005,Cherokee Canal,,Canal,2,1,1,,CRK005,BTC003,15516.4733000007,,,1,1,1,"{1,3,4}",,,false,false,
C_CSL004A,Cache Slough,,Stream,2,1,1,,CSL004,SAC017,6780.49327291705,,,1,1,1,"{1,3,4}",,,false,false,
C_CSL005,Cache Slough,,Stream,2,1,1,,CSL005,CSL004,1122.83680910224,,,1,1,1,"{1,3,4}",,,false,false,
C_CSM005,Cosumnes River,,Stream,2,1,2,,CSM005,CSM001,6460.04102529268,,,1,1,1,"{1,3,4}",,,false,false,
C_CSM016,Cosumnes River,,Stream,2,1,2,,CSM016,CSM011,8131.28090396253,,,1,1,1,"{1,3,4}",,,false,false,
C_CSM026,Cosumnes River,,Stream,2,1,2,,CSM026,CSM021,8046.71999861532,,,1,1,1,"{1,3,4}",,,false,false,
C_CSM035,Cosumnes River,,Stream,2,1,2,,CSM035,CSM033,3344.50155152495,,,1,1,1,"{1,3,4}",,,false,false,
C_CSTIC,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CVT000,Collerville Tunnel,,Canal,2,1,2,,CVT000,CVT005,7368.29866865985,,,1,1,1,"{1,3,4}",,,false,false,
C_CVT009,Collerville Tunnel,,Canal,2,1,2,,CVT009,STN091,437.878368775417,,,1,1,1,"{1,3,4}",,,false,false,
C_CWD004,Cottonwood Creek,,Stream,2,1,1,,CWD004,CWD003,2061.08218360958,,,1,1,1,"{1,3,4}",,,false,false,
C_CWD013,Cottonwood Creek,,Stream,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CWD018,Cottonwood Creek,,Stream,2,1,1,,CWD018,CWD009,15281.3090210561,,,1,1,1,"{1,3,4}",,,false,false,
C_CYN010,Canyon Creek,,Stream,2,1,1,,CYN010,CYN009,787.207915553404,,,1,1,1,"{1,3,4}",,,false,false,
C_DBC014,Dry Creek/Berenda Creek (Conceptual Combination),,Stream,2,1,2,,DBC014,FRS022,22696.6125388021,,,1,1,1,"{1,3,4}",,,false,false,
C_DCC008,Duncan Canyon Creek,,Stream,2,1,1,,DCC008,MFA040,14286.9095058298,,,1,1,1,"{1,3,4}",,,false,false,
C_DCC010,Duncan Canyon Creek,,Stream,2,1,1,,DCC010,DCC009,361.625168038999,,,1,1,1,"{1,3,4}",,,false,false,
C_DCM019,Dry Creek (Merced),,Stream,2,1,2,,DCM019,MCD032,30498.3511300413,,,1,1,1,"{1,3,4}",,,false,false,
C_DCT050,Dry Creek (Tuolumne),,Stream,2,1,2,,DCT050,TUO017,80918.9862580653,,,1,1,1,"{1,3,4}",,,false,false,
C_DED010,Deadman Creek,,Stream,2,1,2,,DED010,DED003,11237.5755536766,,,1,1,1,"{1,3,4}",,,false,false,
C_DED019,Deadman Creek,,Stream,2,1,2,,DED019,DED012,10575.013598593,,,1,1,1,"{1,3,4}",,,false,false,
C_DED032,Deadman Creek,,Stream,2,1,2,,DED032,DED025,11265.4305152653,,,1,1,1,"{1,3,4}",,,false,false,
C_DED038,Deadman Creek,,Stream,2,1,2,,DED038,DED035,4828.04163007137,,,1,1,1,"{1,3,4}",,,false,false,
C_DEE020,Deer Creek (South),,Stream,2,1,2,,DEE020,CSM011,32580.0574424773,,,1,1,1,"{1,3,4}",,,false,false,
C_DELVE,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_DER001,Deer Creek,,Stream,2,1,1,,DER001,YUB023,1609.36348720266,,,1,1,1,"{1,3,4}",,,false,false,
C_DER004,Deer Creek,,Stream,2,1,1,,DER004,DER002,3012.30769270468,,,1,1,1,"{1,3,4}",,,false,false,
C_DER018,Deer Creek,,Stream,2,1,1,,DER018,DER011,11239.9825031415,,,1,1,1,"{1,3,4}",,,false,false,
C_DER027,South Fork Deer Creek,,Stream,2,1,1,,DER027,SCOTF,5067.28561015332,,,1,1,1,"{1,3,4}",,,false,false,
C_DHC021,Best Slough,,Stream,2,1,1,,DHC021,DHC001,32574.9114582662,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC000_CVP_DELTA,Delta-Mendota Canal CVP Export from Delta,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_DMC003,Delta-Mendota Canal,,Canal,2,1,2,SJR,DMC003,DMC007,7053.78876166083,,,1,1,1,"{1,3,4}",,,false,false,canal
C_DMC011,Delta-Mendota Canal,,Canal,2,1,2,,DMC011,DMC016,7778.09526479445,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC021,Delta-Mendota Canal,,Canal,2,1,2,,DMC021,DMC024,6186.51379422094,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC030,Delta-Mendota Canal,,Canal,2,1,2,,DMC030,DMC034,7225.40886736255,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC039,Delta-Mendota Canal,,Canal,2,1,2,,DMC039,DMC044,9011.8947125815,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC049,Delta-Mendota Canal,,Canal,2,1,2,,DMC049,DMC054,9259.08457590793,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC058,Delta-Mendota Canal,,Canal,2,1,2,,DMC058,DMC064,9257.25709280538,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC070,Delta-Mendota Canal,,Canal,2,1,2,,DMC070,DMC074,7117.5872848893,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC076,Delta-Mendota Canal,,Canal,2,1,2,,DMC076,DMC080,5778.58921741022,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC085,Delta-Mendota Canal,,Canal,2,1,2,,DMC085,DMC091,8805.32307355331,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC097,Delta-Mendota Canal,,Canal,2,1,2,,DMC097,DMC105,13271.858190471,,,1,1,1,"{1,3,4}",,,false,false,
C_DMC111,Delta-Mendota Canal,,Canal,2,1,2,,DMC111,DMC116,7034.39427967546,,,1,1,1,"{1,3,4}",,,false,false,
C_DONLL,Middle Fork Stanislaus River,,Stream,2,1,2,,DONLL,MFS021,12740.322667123,,,1,1,1,"{1,3,4}",,,false,false,
C_DPH008,Donnell Tunnel,,Canal,2,1,2,,DPH008,MFS021,75.8365028132421,,,1,1,1,"{1,3,4}",,,false,false,
C_DRC010,Deer Creek,,Stream,2,1,1,,DRC010,DRC005,8341.18557875926,,,1,1,1,"{1,3,4}",,,false,false,
C_DRM000,Drum Canal,,Canal,2,1,1,,DRM000,DRM001,1253.07913072722,,,1,1,1,"{1,3,4}",,,false,false,
C_DRM001_PGE,Drum Canal PGE,,Canal,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_DRM002,Drum Canal,,Canal,2,1,1,,DRM002,DRM008,9327.52097918372,,,1,1,1,"{1,3,4}",,,false,false,
C_DRM008_PGE,Drum Canal PGE,,Canal,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_DRM009,Drum Canal,,Canal,2,1,1,,DRM009,DRM011,1912.64715495188,,,1,1,1,"{1,3,4}",,,false,false,
C_DSC008,Dry Creek/Sutter Creek,,Stream,2,1,2,,DSC008,CSM001,12020.7292416828,,,1,1,1,"{1,3,4}",,,false,false,
C_DSC016,Dry Creek/Sutter Creek,,Stream,2,1,2,,DSC016,DSC012,6437.45424884748,,,1,1,1,"{1,3,4}",,,false,false,
C_DSC026,Dry Creek/Sutter Creek,,Stream,2,1,2,,DSC026,DSC023,5709.4297941907,,,1,1,1,"{1,3,4}",,,false,false,
C_DSC035,Dry Creek/Sutter Creek,,Stream,2,1,2,,DSC035,DSC028,11265.5450089878,,,1,1,1,"{1,3,4}",,,false,false,
C_EBF018,East Branch North Fork Feather River,,Stream,2,1,1,,EBF018,EBF001,28643.4189471588,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP005,Eastside Bypass,,Bypass,2,1,2,,EBP005,EBP016,18178.1619084111,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP019,Eastside Bypass,,Bypass,2,1,2,,EBP019,EBP022,4932.44706961674,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP030,Eastside Bypass,,Bypass,2,1,2,,EBP030,EBP032,3435.89522261477,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP033,Eastside Bypass,,Bypass,2,1,2,,EBP033,EBP041,13388.5512931152,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP042,Eastside Bypass,,Bypass,2,1,2,,EBP042,EBP043,2013.56359814413,,,1,1,1,"{1,3,4}",,,false,false,
C_EBP048,Eastside Bypass,,Bypass,2,1,2,,EBP048,EBP050,3032.6394416796,,,1,1,1,"{1,3,4}",,,false,false,
C_ECHOL,Echo Lake Conduit,,Canal,2,1,1,,ECHOL,ELC001,842.828871259935,,,1,1,1,"{1,3,4}",,,false,false,
C_EDC000,El Dorado Canal,,Canal,2,1,1,,EDC000,EDC004,5831.13691450094,,,1,1,1,"{1,3,4}",,,false,false,
C_EDC007,El Dorado Canal,,Canal,2,1,1,,EDC007,EDC021,23137.9917528957,,,1,1,1,"{1,3,4}",,,false,false,
C_ELC001,Echo Lake Conduit,,Canal,2,1,1,,ELC001,SFA085,1028.92701796765,,,1,1,1,"{1,3,4}",,,false,false,
C_ELD012,Elder Creek,,Stream,2,1,1,,ELD012,ELD005,11265.4079514507,,,1,1,1,"{1,3,4}",,,false,false,
C_ELD022,Elder Creek,,Stream,2,1,1,,ELD022,ELD017,8046.71998045059,,,1,1,1,"{1,3,4}",,,false,false,
C_ELENR,Eleanor Creek below Lake Eleanor dam.,,Stream,2,1,2,,ELENR,ELN003,717.098216559447,,,1,1,1,"{1,3,4}",,,false,false,
C_ELT010,Eltectra Tunnel,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_EMD001,Natomas East Main Drainage Canal,,Canal,2,1,1,,EMD001,SAC064,1997.85020336283,,,1,1,1,"{1,3,4}",,,false,false,
