from_element_id,to_element_id,from_element_code,to_element_code,created_by,connection_type,source_id
1442,6638,D_EPARK_SCKWD,Stony Creek WD,2,diversion,5
1121,2579,SR_04_SAC217,SAC217,2,storage_return,5
758,2579,SR_05_SAC217,SAC217,2,storage_return,5
1599,908,SR_10_SAC196,SAC196,2,storage_return,5
4478,1270,C_BSL001A,BSL000,2,operational,5
315,6457,D_BSL001_18_NA,"18_NA Butte Slough IC, Sutter Butte MWC, Non-District",2,diversion,5
1880,1321,R_RFS18_SAC122,RFS18,2,return,5
2485,1373,C_BSL004,SBP031,2,operational,5
2003,1944,C_SBP028,SBP024,2,operational,5
648,2667,C_SBP031,SBP028,2,operational,5
1373,648,SBP031,C_SBP031,2,operational,5
2667,2003,SBP028,C_SBP028,2,operational,5
1944,1311,SBP024,C_SBP024,2,operational,5
627,4899,BSL001,C_BSL001B,2,operational,5
2695,6457,D_SBP031_18_NA,"18_NA Butte Slough IC, Sutter Butte MWC, Non-District",2,diversion,5
964,627,C_BTC003,BSL001,2,operational,5
2667,570,SBP028,D_SBP028_17S_PR,2,operational,5
570,4500,D_SBP028_17S_PR,17S_PR Sutter NWR,2,diversion,5
853,1321,R_18_SA_RFS18,RFS18,2,return,5
6457,2729,"18_NA Butte Slough IC, Sutter Butte MWC, Non-District",R_18_NA_RFS18,2,operational,5
1703,1321,SR_18_RFS18,RFS18,2,storage_return,5
2729,1321,R_18_NA_RFS18,RFS18,2,return,5
6096,627,SG292_BSL001_52,BSL001,2,operational,5
4899,294,C_BSL001B,BSL004,2,operational,5
294,2485,BSL004,C_BSL004,2,operational,5
5888,2667,SG335_SBP028_58,SBP028,2,operational,5
3920,1373,SG334_SBP031_58,SBP031,2,operational,5
1782,523,C_TCC036,TCC062,2,operational,5
2972,1691,C_TCC066,TCC081,2,operational,5
1485,6745,D_TCC036_07N_PA,"07N_PA Glide WD, Holthouse WD (part), Kanawha WD, Orland-Artois WD",2,diversion,5
252,1450,C_CBD049,CBD044,2,operational,5
2233,1530,D_TCC062_GCC036,GCC036,2,diversion,5
2484,6326,D_GCC056_08S_PR,08S_PR Colusa NWR,2,diversion,5
2587,1173,C_CBD044,CBD041,2,operational,5
350,4816,D_SAC178_08N_SA1,"08N_SA1 Princeton-Cordora-Glenn ID, Provident ID, Maxwell ID (part), Misc. Settlement Contractors",2,diversion,5
1630,6207,D_SAC159_08S_SA1,"08S_SA1 Maxwell ID (portion), Roberts Ditch IC, Sycamore Family Trust, Misc. Settlement Contractors",2,diversion,5
2452,2336,C_CBD041,CBD038,2,operational,5
375,216,C_GCC036,GCC039,2,operational,5
76,1530,C_GCC032,GCC036,2,operational,5
2258,6207,D_CBD041_08S_SA1,"08S_SA1 Maxwell ID (portion), Roberts Ditch IC, Sycamore Family Trust, Misc. Settlement Contractors",2,diversion,5
1173,2258,CBD041,D_CBD041_08S_SA1,2,operational,5
2619,2580,SAC159,C_SAC159,2,operational,5
966,474,SAC154,C_SAC154,2,operational,5
6207,1464,"08S_SA1 Maxwell ID (portion), Roberts Ditch IC, Sycamore Family Trust, Misc. Settlement Contractors",R_08S_SA1_CBD031,2,operational,5
4290,1697,08N_NA Non-District,R_08N_NA_CBD049,2,operational,5
2203,6326,R_08S_PR_CBD031,08S_PR Colusa NWR,2,return,5
854,6745,R_07N_PA_CBD044,"07N_PA Glide WD, Holthouse WD (part), Kanawha WD, Orland-Artois WD",2,return,5
820,6723,R_07S_NA_CBD044,07S_NA Non-District,2,return,5
1672,886,D_GCC027_08N_PR1,GCC027,2,diversion,5
1078,1691,D_TCC081_07S_PA,TCC081,2,diversion,5
2619,1630,SAC159,D_SAC159_08S_SA1,2,operational,5
2478,252,CBD049,C_CBD049,2,operational,5
1173,2452,CBD041,C_CBD041,2,operational,5
1564,2549,C_CBD037,CBD037,2,operational,5
1530,375,GCC036,C_GCC036,2,operational,5
91,76,GCC032,C_GCC032,2,operational,5
523,2233,TCC062,D_TCC062_GCC036,2,operational,5
1617,1782,TCC036,C_TCC036,2,operational,5
2353,2972,TCC066,C_TCC066,2,operational,5
740,1450,R_08N_SA1_CBD044,CBD044,2,return,5
4816,740,"08N_SA1 Princeton-Cordora-Glenn ID, Provident ID, Maxwell ID (part), Misc. Settlement Contractors",R_08N_SA1_CBD044,2,operational,5
2965,4816,D_CBD049_08N_SA1,"08N_SA1 Princeton-Cordora-Glenn ID, Provident ID, Maxwell ID (part), Misc. Settlement Contractors",2,diversion,5
641,2478,SR_08N_CBD049,CBD049,2,storage_return,5
461,2478,SR_07N_CBD049,CBD049,2,storage_return,5
745,2336,SR_07S_CBD038,CBD038,2,storage_return,5
1278,886,D_GCC027_08N_SA2,GCC027,2,diversion,5
1173,680,CBD041,D_CBD041_08S_SA2,2,operational,5
787,2353,C_TCC062,TCC066,2,operational,5
523,787,TCC062,C_TCC062,2,operational,5
2095,1363,TCC085,D_TCC085_GCC056,2,operational,5
1691,2896,TCC081,C_TCC081,2,operational,5
1423,4816,D_SAC159_08N_SA1,"08N_SA1 Princeton-Cordora-Glenn ID, Provident ID, Maxwell ID (part), Misc. Settlement Contractors",2,diversion,5
614,4825,D_GCC039_08N_PR2,08N_PR2 Delevan NWR,2,diversion,5
614,216,D_GCC039_08N_PR2,GCC039,2,diversion,5
1874,1450,R_08N_PR2_CBD044,CBD044,2,return,5
1874,4825,R_08N_PR2_CBD044,08N_PR2 Delevan NWR,2,return,5
1715,6715,D_CBD049_08N_PA,08N_PA Colusa Drain MWC,2,diversion,5
6715,1553,08N_PA Colusa Drain MWC,R_08N_PA_CBD044,2,operational,5
919,2159,C_GCC039,GCC042,2,operational,5
216,919,GCC039,C_GCC039,2,operational,5
1697,2478,R_08N_NA_CBD049,CBD049,2,return,5
