short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_SAC085,SAC,C_SAC085,8.0,Sacramento River,,CH,ST,,,1,4530.78991093354,1,4,,,,1,12,True,connected,True
C_SAC091,SAC,C_SAC091,8.0,Sacramento River,,CH,ST,,,1,9152.87796426811,1,4,,,,1,12,True,connected,True
C_SAC097,SAC,C_SAC097,8.0,Sacramento River,,CH,ST,,,1,6734.12662747326,1,4,,,,1,12,True,connected,True
C_SAC106,SAC,C_SAC106,8.0,Sacramento River,,CH,ST,,,1,10938.9715549695,1,4,,,,1,12,True,connected,True
C_SAC115,SAC,C_SAC115,8.0,Sacramento River,,CH,ST,,,1,9692.91718001249,1,4,,,,1,12,True,connected,True
C_SAC120,SAC,C_SAC120,8.0,Sacramento River,,CH,ST,,,1,9547.47633897296,1,4,,,,1,12,True,connected,True
C_SAC122,SAC,C_SAC122,8.0,Sacramento River,,CH,ST,,,1,1433.25104932103,1,4,,,,1,12,True,connected,True
D_FOLSM_WTPEDH,,D_FOLSM_WTPEDH,10.0,,,D,,,,1,7748.6062000012,1,4,,,,1,12,True,connected,True
D_WTPEDH_ELDID,,D_WTPEDH_ELDID,10.0,,,D,,,,1,6743.34400000051,1,4,,,,1,12,True,connected,True
R_ELDID_EDWWTP,,R_ELDID_EDWWTP,,,,RT,,,,1,5108.97140000015,1,4,,,,1,12,True,connected,True
D_WTPFBN_26N_NU4,,D_WTPFBN_26N_NU4,10.0,,,D,,,,1,11830.6546,1,4,,,,1,12,True,connected,True
C_STS050,STS,C_STS050,8.0,Stanislaus River,,CH,ST,,,2,3732.59444864253,1,4,,,,1,12,True,connected,True
C_ABT002,ABT,C_ABT002,4.0,Auburn Tunnel,,CH,CL,,,1,1544.2306088929,1,4,,,,1,12,True,connected,True
C_ABN027,ABN,C_ABN027,8.0,Auburn Ravine,,CH,ST,,,1,1685.94113250432,1,4,,,,1,12,True,connected,True
C_SAC129,SAC,C_SAC129,8.0,Sacramento River,,CH,ST,,,1,11657.7518964714,1,4,,,,1,12,True,connected,True
C_SAC134,SAC,C_SAC134,8.0,Sacramento River,,CH,ST,,,1,8046.71998543938,1,4,,,,1,12,True,connected,True
C_SAC141,SAC,C_SAC141,8.0,Sacramento River,,CH,ST,,,1,6719.23646577633,1,4,,,,1,12,True,connected,True
C_SAC146,SAC,C_SAC146,8.0,Sacramento River,,CH,ST,,,1,8445.89467142904,1,4,,,,1,12,True,connected,True
C_SAC154,SAC,C_SAC154,8.0,Sacramento River,,CH,ST,,,1,9656.06396282563,1,4,,,,1,12,True,connected,True
C_SAC159,SAC,C_SAC159,8.0,Sacramento River,,CH,ST,,,1,8594.37782674483,1,4,,,,1,12,True,connected,True
C_SAC162,SAC,C_SAC162,8.0,Sacramento River,,CH,ST,,,1,4280.37421959665,1,4,,,,1,12,True,connected,True
C_SAC168,SAC,C_SAC168,8.0,Sacramento River,,CH,ST,,,1,9656.0639217799,1,4,,,,1,12,True,connected,True
C_SAC174,SAC,C_SAC174,8.0,Sacramento River,,CH,ST,,,1,7677.14555225064,1,4,,,,1,12,True,connected,True
C_SAC178,SAC,C_SAC178,8.0,Sacramento River,,CH,ST,,,1,6437.37600261309,1,4,,,,1,12,True,connected,True
C_SAC182,SAC,C_SAC182,8.0,Sacramento River,,CH,ST,,,1,6437.37594733941,1,4,,,,1,12,True,connected,True
C_SAC185,SAC,C_SAC185,8.0,Sacramento River,,CH,ST,,,1,5413.69802777967,1,4,,,,1,12,True,connected,True
C_SAC193,SAC,C_SAC193,8.0,Sacramento River,,CH,ST,,,1,7345.73690479411,1,4,,,,1,12,True,connected,True
C_SAC201,SAC,C_SAC201,8.0,Sacramento River,,CH,ST,,,1,9126.65301931873,1,4,,,,1,12,True,connected,True
C_SAC214,SAC,C_SAC214,8.0,Sacramento River,,CH,ST,,,1,11987.3224014946,1,4,,,,1,12,True,connected,True
C_SAC224,SAC,C_SAC224,8.0,Sacramento River,,CH,ST,,,1,9282.61845995577,1,4,,,,1,12,True,connected,True
C_SAC240,SAC,C_SAC240,8.0,Sacramento River,,CH,ST,,,1,13147.3033995603,1,4,,,,1,12,True,connected,True
C_SAC247,SAC,C_SAC247,8.0,Sacramento River,,CH,ST,,,1,11668.9121385668,1,4,,,,1,12,True,connected,True
C_SAC254,SAC,C_SAC254,8.0,Sacramento River,,CH,ST,,,1,6647.60722307837,1,4,,,,1,12,True,connected,True
C_SAC265,SAC,C_SAC265,8.0,Sacramento River,,CH,ST,,,1,9656.06392957715,1,4,,,,1,12,True,connected,True
C_SAC269,SAC,C_SAC269,8.0,Sacramento River,,CH,ST,,,1,5699.67772521279,1,4,,,,1,12,True,connected,True
C_SAC273,SAC,C_SAC273,8.0,Sacramento River,,CH,ST,,,1,4284.23624948776,1,4,,,,1,12,True,connected,True
