short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
SJR185,3,4.0,5.0,True,True,node,SJR185,CH,STM,,2.0,12,True,2
D_YUB013_14_NA,3,4.0,5.0,True,True,arc,,D,,4643.78470000066,1.0,12,True,2
C_CAA012,3,4.0,5.0,True,True,arc,California Aqueduct,CH,CL,19229.3940216063,2.0,12,True,2
LCC024,3,4.0,5.0,True,True,node,LCC024,CH,STM,,1.0,12,True,2
C_SLT008,3,4.0,5.0,True,True,arc,Slate Creek,CH,ST,14004.6640224091,1.0,12,True,2
OMR027,3,4.0,5.0,True,True,node,OMR027,CH,STM,,1.0,12,True,2
C_COW007,3,4.0,5.0,True,True,arc,Cow Creek,CH,ST,7178.52189938185,1.0,12,True,2
R_RFS8S_SAC097,3,4.0,5.0,True,True,arc,,RT,,6663.17520000041,1.0,12,True,2
D_SAC065_WTPBTB,3,4.0,5.0,True,True,arc,,D,,252.527140191529,1.0,12,True,2
CCK038,3,4.0,5.0,True,True,node,CCK038,CH,STM,,1.0,12,True,2
C_CLV028,3,4.0,5.0,True,True,arc,Calaveras River,CH,ST,2988.44525954439,2.0,12,True,2
I_MNS000,3,4.0,5.0,True,True,arc,,IN,LI,7499.99996034833,1.0,12,True,2
C_CLV016,3,4.0,5.0,True,True,arc,Calaveras River,CH,ST,9656.08333071342,2.0,12,True,2
C_RUB023,3,4.0,5.0,True,True,arc,Rubicon River,CH,ST,28553.5737006051,1.0,12,True,2
R_61_NU1_MOWWTP,3,4.0,5.0,True,True,arc,,RT,,4489.1099999994,2.0,12,True,2
C_MFF088,3,4.0,5.0,True,True,arc,Middle Fork Feather River,CH,,1693.23498334132,1.0,12,True,2
CT_SACSLOUGH,3,4.0,5.0,True,True,arc,,CT,,7500.00001514946,1.0,12,True,2
STH000,3,4.0,5.0,True,True,node,STH000,CH,CNL,,1.0,12,True,2
MFT000,3,4.0,5.0,True,True,node,MFT000,CH,SG,,1.0,12,True,2
D_DWRPS1_16_NA2,3,4.0,5.0,True,True,arc,,D,,1313.3264000006,1.0,12,True,2
