scenario_id,assumption_id,created_at,created_by,updated_at,updated_by
32,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
33,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
34,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
35,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
36,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
37,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
38,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
39,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
40,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
41,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
42,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
43,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
44,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
45,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
46,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
47,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
48,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
49,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
50,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
51,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
52,1,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
53,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
54,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
55,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
56,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
57,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
58,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
59,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
60,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
61,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
62,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
63,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
64,6,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
65,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
66,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
67,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
68,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
69,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
70,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
71,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
72,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
73,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
74,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
75,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
