"scenario_id","02_PU","02_SU","03_PU1","03_PU2","03_SU","11_NU1","12_NU1","13_NU1","16_PU","20_NU1","21_PU","24_NU1","24_NU2","24_NU3","25_PU","26N_NU1","26N_NU2","26N_NU3","26N_PU1","26N_PU2","26N_PU3","26S_NU1","26S_PU1","26S_PU2","26S_PU4","26S_PU5","26S_PU6","50_PU","60N_NU2","60S_NU1","61_NU2","62_NU","72_PU","90_PU","ACFC","AMADR","AMCYN","ANTOC","BNCIA","CCWD","CSB038","CSB103","CSPSO","CSTIC","EBMUD","ELDID_NU1","ELDID_NU2","ELDID_NU3","ESB324","ESB347","ESB414","ESB420","FRFLD","GDPUD_NU","GRSVL","JLIND","KCWA","MHILL_NU","MWD","NAPA","NAPA2","PCWA3","PLMAS","SBA029","SBA036","SBCWD","SCVWD","SUISN","SVWRD","TLMNE","TVAFB","UNION","UPANG","VLLJO","WLDWD"
"s0031",1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,1,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0032",3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,1,1
"s0033",1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,2,1,1,1,1,1,2,3,2,3,1,1,1,1,2,3,1,1,1,1,1,1,2,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0035",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,1
"s0036",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0037",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0039",1,3,2,2,3,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,3,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,4,2,1,1,1,1,1,3,1,3,1,1,1,3,4,4,2,1,3,4,1,1,1,1,1,1
"s0040",1,3,2,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,3,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,2,1,1,1,1,1,3,1,3,1,1,1,3,3,3,2,1,3,4,1,1,1,1,1,1
"s0041",1,3,2,2,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,3,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,1
"s0042",1,3,2,2,3,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,3,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,1
"s0044",1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,2,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,2,1,3,3,1,1,1,1,2,1
"s0045",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0046",3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,3,3,2,1,1,1,2,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,1
"s0047",1,2,2,3,2,1,1,1,1,3,1,3,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0048",3,3,1,3,4,2,2,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,2,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0049",3,3,3,3,3,2,2,1,1,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0050",1,2,2,3,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0051",1,3,3,3,1,1,1,1,1,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,3,1,3,1,1,1,1,1,2,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0056",2,3,3,3,3,3,2,1,3,3,2,3,1,2,3,4,2,1,3,1,1,2,1,1,3,1,3,4,1,1,1,1,1,2,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,4,3,1,1,1,2,1,3,1,3,1,3,1,3,4,4,1,1,3,4,1,1,1,1,2,2
"s0057",1,3,1,3,4,3,2,1,1,3,1,2,1,2,3,4,1,1,2,1,1,1,1,1,4,4,1,4,1,1,2,1,1,2,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,4,3,1,1,1,2,1,3,1,4,1,3,1,3,4,4,1,1,3,4,1,1,1,1,2,2
"s0058",3,3,3,3,3,3,2,1,3,3,2,1,1,2,3,4,2,2,3,1,1,2,1,1,3,1,3,4,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,4,3,1,1,1,2,1,3,1,4,1,3,1,3,4,4,1,1,3,4,1,1,1,1,2,2
"s0059",1,3,3,3,2,3,2,1,2,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,3,2,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,2,1,1,1,1,3,1,3,1,3,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0060",3,3,3,3,3,3,3,1,3,3,3,2,1,2,3,4,3,2,3,1,1,2,1,1,4,3,3,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,1,3,1,3,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0062",1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0063",1,1,1,1,1,2,2,1,1,1,1,1,1,3,3,4,1,1,2,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0065",1,1,2,1,1,2,1,1,2,3,1,1,3,1,3,4,1,1,3,1,1,1,1,1,3,1,2,4,1,1,1,1,1,2,3,1,1,1,1,1,3,3,3,4,1,1,1,1,3,3,3,1,1,1,2,1,NA,1,3,1,3,1,3,4,3,2,1,3,4,1,1,1,1,2,1
"s0067",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0068",1,2,1,3,1,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,3,1,1,3,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0069",1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0071",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,3,3,1,1,3,3,1,1,2,1,2,2
"s0072",1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,2,1,1,1,3,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,2
"s0073",3,3,3,3,3,2,2,1,1,1,1,1,1,1,3,4,1,1,3,1,1,1,3,3,2,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0074",1,3,1,1,4,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,4,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,2,1,1,1,2,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0075",1,3,2,2,2,1,1,1,1,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,1,2
"s0076",1,3,2,2,2,1,1,1,1,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0077",1,2,2,1,2,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0078",1,3,2,3,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,4,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,3,1,1,1,1,1,4,1,4,1,1,1,3,4,4,2,1,3,4,1,1,1,1,1,2
"s0079",1,3,2,2,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,2,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0080",1,3,2,2,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,2,1,1,1,1,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,1,2
"s0081",1,3,2,3,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,3,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,2,1,1,1,1,1,4,1,4,1,1,1,3,4,4,2,1,3,4,1,1,1,1,1,2
"s0082",1,3,2,2,2,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,2,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,2,1,3,4,1,1,1,1,2,2
"s0083",1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,3,4,3,1,1,3,3,1,1,1,1,2,2
"s0084",3,3,3,3,3,2,2,1,1,1,1,1,1,1,3,4,1,1,3,1,1,1,3,3,2,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,2,1,1,1,3,1,3,1,3,1,1,1,3,3,3,1,1,3,4,1,1,1,1,1,2
"s0085",1,3,3,3,2,3,3,1,3,3,2,3,2,1,3,4,2,1,3,1,1,3,1,1,3,3,3,4,1,1,1,1,1,2,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,3,3,1,1,1,2,1,NA,1,3,1,3,1,3,4,3,2,1,3,4,1,1,1,1,3,2
"s0087",1,1,1,1,1,2,2,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0088",2,2,2,3,2,2,2,1,2,3,1,1,1,2,3,4,1,1,2,1,1,1,1,1,3,1,2,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0089",2,1,1,2,1,2,2,1,2,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,3,1,1,1,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,1
"s0091",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,4,4,1,1,3,4,1,1,3,1,2,2
"s0092",1,3,1,2,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,1,2,2
"s0093",3,3,3,3,3,3,2,1,1,1,1,1,1,1,3,4,3,1,3,1,1,1,3,3,4,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,4,3,1,1,3,4,1,1,1,1,2,1
"s0094",1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,2,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,2,1
"s0095",1,3,2,2,2,2,2,1,1,3,1,1,1,2,3,4,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,1,2
"s0096",1,3,2,2,2,2,2,1,2,3,1,1,1,2,3,4,1,1,3,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0097",1,2,2,1,2,2,2,1,2,3,1,1,1,2,3,4,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0098",1,3,3,3,3,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,4,4,1,4,1,1,1,1,1,4,4,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,2,1,1,1,1,1,4,1,4,2,3,1,3,4,4,4,1,3,4,1,1,1,1,1,2
"s0099",1,3,3,3,3,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,4,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,3,1,1,1,1,1,4,1,4,1,3,1,3,4,4,2,1,3,4,1,1,1,1,1,2
"s0100",1,3,3,3,3,1,1,1,1,2,1,1,1,1,3,4,1,1,2,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,4,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,2,1,1,1,1,1,4,1,4,1,3,1,3,4,4,2,1,3,4,1,1,1,1,1,2
"s0101",1,3,3,3,3,1,1,1,1,3,1,1,1,1,3,4,1,1,2,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,4,1,1,2,1,1,4,4,3,4,1,1,1,1,4,4,3,1,1,1,1,1,4,1,4,1,3,1,3,4,4,2,1,3,4,1,2,1,1,1,2
"s0102",1,3,3,3,3,2,2,1,1,3,1,1,1,2,3,4,1,1,2,1,1,1,1,1,4,3,1,4,1,1,1,1,1,3,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,2,1,3,1,3,1,3,1,3,4,4,2,1,3,4,1,1,1,1,2,2
"s0103",2,2,2,3,2,2,2,1,2,3,1,1,1,2,3,4,1,1,2,1,1,1,1,1,3,1,2,4,1,1,1,1,1,2,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,3,2,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0104",3,3,3,3,3,3,2,1,1,2,1,1,1,1,3,4,3,3,3,1,1,1,3,3,4,1,1,4,1,1,3,1,1,1,3,1,1,2,1,1,3,3,3,3,2,1,1,1,3,3,3,1,1,1,2,1,3,1,3,1,3,1,3,4,3,1,1,3,4,1,1,1,1,2,2
"s0105",2,3,3,3,3,3,3,1,3,3,3,3,2,2,3,4,3,1,3,1,2,3,2,1,3,3,3,4,1,1,2,1,1,3,3,1,1,2,1,1,3,3,3,4,1,1,1,1,3,3,3,3,1,1,2,1,NA,1,3,1,3,1,3,4,4,2,1,3,4,1,1,1,1,3,2
