id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
376,C_RLLNS,Rollins Total Release,Total release from Rollins,61,release_total,false,,,2,3,1,804c3550-a73b-4c55-aa2a-e47a63b35a3c,"{1,3,4}",1,
377,C_RLLNS_NCF,Rollins Normal Release,Normal controlled release from Rollins (≤ release capacity),61,release_normal,false,,,2,3,1,40c93190-44a5-4d17-9cac-389ec830cf65,"{1,3,4}",1,
378,C_RLLNS_FLOOD,Rollins Flood Spill,Flood spill from Rollins (above release capacity),61,release_flood,false,,,2,3,1,46a4849d-ac9f-4bf7-be58-0f492112c97a,"{1,3,4}",1,
379,C_RNCHO,Rancho Murieta local reservoirs Total Release,Total release from Rancho Murieta local reservoirs,62,release_total,false,,,2,3,1,8da6f01e-df89-472c-9c26-82d966903d34,"{1,3,4}",1,
380,C_RNCHO_NCF,Rancho Murieta local reservoirs Normal Release,Normal controlled release from Rancho Murieta local reservoirs (≤ release capacity),62,release_normal,false,,,2,3,1,4da7a1ea-020e-48e6-9b09-9f4fcaf98101,"{1,3,4}",1,
381,C_RNCHO_FLOOD,Rancho Murieta local reservoirs Flood Spill,Flood spill from Rancho Murieta local reservoirs (above release capacity),62,release_flood,false,,,2,3,1,fa6d0502-51ea-411d-aac7-d993589838a0,"{1,3,4}",1,
382,C_RVPHB,Round Valley and Philbrook Total Release,Total release from Round Valley and Philbrook,63,release_total,false,,,2,3,1,aaead5cf-93df-489f-ba5e-faa5ea87d471,"{1,3,4}",1,
383,C_RVPHB_NCF,Round Valley and Philbrook Normal Release,Normal controlled release from Round Valley and Philbrook (≤ release capacity),63,release_normal,false,,,2,3,1,2ef90091-a1b6-436e-883e-74634416bae0,"{1,3,4}",1,
384,C_RVPHB_FLOOD,Round Valley and Philbrook Flood Spill,Flood spill from Round Valley and Philbrook (above release capacity),63,release_flood,false,,,2,3,1,8a6ddaac-a744-445c-89dd-77d635cbea1d,"{1,3,4}",1,
385,C_SCOTF,Scott Flat Total Release,Total release from Scott Flat,64,release_total,false,,,2,3,1,34733a3e-538b-4f44-b25c-ca14c258cbae,"{1,3,4}",1,
386,C_SCOTF_NCF,Scott Flat Normal Release,Normal controlled release from Scott Flat (≤ release capacity),64,release_normal,false,,,2,3,1,3e4fe1ac-172b-4742-881e-80b01020661b,"{1,3,4}",1,
387,C_SCOTF_FLOOD,Scott Flat Flood Spill,Flood spill from Scott Flat (above release capacity),64,release_flood,false,,,2,3,1,2654bd46-9d0a-446a-b028-8bbd4df25af7,"{1,3,4}",1,
388,C_SGRGE,Stony Gorge Total Release,Total release from Stony Gorge,65,release_total,false,,,2,3,1,19efaedc-e900-437a-a631-adccab7e56df,"{1,3,4}",1,
389,C_SGRGE_NCF,Stony Gorge Normal Release,Normal controlled release from Stony Gorge (≤ release capacity),65,release_normal,false,,,2,3,1,33585f41-f4ae-4b7c-98ed-271b3cc390ce,"{1,3,4}",1,
390,C_SGRGE_FLOOD,Stony Gorge Flood Spill,Flood spill from Stony Gorge (above release capacity),65,release_flood,false,,,2,3,1,54915900-7471-4c95-9c6a-9a9366a6dc03,"{1,3,4}",1,
391,C_SHSTA,Shasta Total Release,Total release from Shasta,66,release_total,false,,,2,3,1,f6166fd8-5098-4345-84c1-55b43dd87183,"{1,3,4}",1,
